season,team,plays_pg
2022,Air Force,64.84615384615384
2022,Akron,68.91666666666667
2022,Alabama,69.0
2022,App State,72.08333333333333
2022,Arizona,66.08333333333333
2022,Arizona State,65.16666666666667
2022,Arkansas,73.38461538461539
2022,Arkansas State,64.5
2022,Army,60.25
2022,Auburn,65.91666666666667
2022,Ball State,72.91666666666667
2022,Baylor,68.0
2022,Boise State,65.85714285714286
2022,Boston College,64.91666666666667
2022,Bowling Green,61.61538461538461
2022,Buffalo,72.92307692307692
2022,BYU,64.07692307692308
2022,California,65.16666666666667
2022,Central Michigan,68.58333333333333
2022,Charlotte,68.16666666666667
2022,Cincinnati,64.0
2022,Clemson,73.07142857142857
2022,Coastal Carolina,67.61538461538461
2022,Colorado,60.333333333333336
2022,Colorado State,59.416666666666664
2022,Duke,65.92307692307692
2022,East Carolina,69.61538461538461
2022,Eastern Michigan,69.15384615384616
2022,Florida,64.46153846153847
2022,Florida Atlantic,71.58333333333333
2022,Florida International,68.41666666666667
2022,Florida State,69.15384615384616
2022,Fresno State,65.64285714285714
2022,Georgia,69.26666666666667
2022,Georgia Southern,75.07692307692308
2022,Georgia State,72.58333333333333
2022,Georgia Tech,67.66666666666667
2022,Hawai'i,68.46153846153847
2022,Houston,68.76923076923077
2022,Illinois,71.15384615384616
2022,Indiana,73.0
2022,Iowa,59.23076923076923
2022,Iowa State,71.83333333333333
2022,James Madison,73.27272727272727
2022,Kansas,63.38461538461539
2022,Kansas State,67.64285714285714
2022,Kent State,71.33333333333333
2022,Kentucky,62.53846153846154
2022,Liberty,68.53846153846153
2022,Louisiana,68.61538461538461
2022,Louisiana Tech,69.83333333333333
2022,Louisville,67.53846153846153
2022,LSU,71.14285714285714
2022,Marshall,73.76923076923077
2022,Maryland,70.23076923076923
2022,Massachusetts,66.58333333333333
2022,Memphis,72.6923076923077
2022,Miami,67.08333333333333
2022,Miami (OH),55.76923076923077
2022,Michigan,69.35714285714286
2022,Michigan State,64.41666666666667
2022,Middle Tennessee,72.76923076923077
2022,Minnesota,65.07692307692308
2022,Mississippi State,71.15384615384616
2022,Missouri,67.46153846153847
2022,Navy,68.83333333333333
2022,NC State,69.84615384615384
2022,Nebraska,62.75
2022,Nevada,69.75
2022,New Mexico,57.5
2022,New Mexico State,58.23076923076923
2022,North Carolina,73.64285714285714
2022,Northern Illinois,65.41666666666667
2022,North Texas,69.28571428571429
2022,Northwestern,74.58333333333333
2022,Notre Dame,67.07692307692308
2022,Ohio,68.28571428571429
2022,Ohio State,67.46153846153847
2022,Oklahoma,72.53846153846153
2022,Oklahoma State,77.15384615384616
2022,Old Dominion,60.083333333333336
2022,Ole Miss,76.61538461538461
2022,Oregon,72.46153846153847
2022,Oregon State,64.61538461538461
2022,Penn State,69.92307692307692
2022,Pittsburgh,69.84615384615384
2022,Purdue,74.21428571428571
2022,Rice,65.53846153846153
2022,Rutgers,61.25
2022,San Diego State,61.07692307692308
2022,San José State,63.833333333333336
2022,SMU,77.0
2022,South Alabama,73.23076923076923
2022,South Carolina,63.30769230769231
2022,Southern Miss,62.92307692307692
2022,South Florida,63.416666666666664
2022,Stanford,68.16666666666667
2022,Syracuse,62.07692307692308
2022,TCU,67.86666666666666
2022,Temple,67.25
2022,Tennessee,72.6923076923077
2022,Texas,67.15384615384616
2022,Texas A&M,63.416666666666664
2022,Texas State,66.58333333333333
2022,Texas Tech,82.46153846153847
2022,Toledo,71.85714285714286
2022,Troy,64.28571428571429
2022,Tulane,67.0
2022,Tulsa,69.83333333333333
2022,UAB,63.84615384615385
2022,UCF,76.0
2022,UCLA,72.15384615384616
2022,UConn,60.92307692307692
2022,UL Monroe,61.166666666666664
2022,UNLV,61.083333333333336
2022,USC,71.0
2022,Utah,69.64285714285714
2022,Utah State,72.23076923076923
2022,UTEP,66.25
2022,UTSA,72.28571428571429
2022,Vanderbilt,64.25
2022,Virginia,63.5
2022,Virginia Tech,65.27272727272727
2022,Wake Forest,76.15384615384616
2022,Washington,74.07692307692308
2022,Washington State,65.07692307692308
2022,Western Kentucky,69.28571428571429
2022,Western Michigan,61.666666666666664
2022,West Virginia,73.0
2022,Wisconsin,62.92307692307692
2022,Wyoming,60.0
2023,Air Force,62.84615384615385
2023,Akron,61.166666666666664
2023,Alabama,62.92857142857143
2023,App State,70.35714285714286
2023,Arizona,65.6923076923077
2023,Arizona State,67.0
2023,Arkansas,66.41666666666667
2023,Arkansas State,63.46153846153846
2023,Army,60.916666666666664
2023,Auburn,63.61538461538461
2023,Ball State,64.25
2023,Baylor,70.5
2023,Boise State,65.57142857142857
2023,Boston College,69.61538461538461
2023,Bowling Green,59.15384615384615
2023,Buffalo,69.91666666666667
2023,BYU,61.833333333333336
2023,California,70.61538461538461
2023,Central Michigan,64.5
2023,Charlotte,64.66666666666667
2023,Cincinnati,72.08333333333333
2023,Clemson,75.46153846153847
2023,Coastal Carolina,66.38461538461539
2023,Colorado,68.08333333333333
2023,Colorado State,68.91666666666667
2023,Duke,60.38461538461539
2023,East Carolina,63.5
2023,Eastern Michigan,59.69230769230769
2023,Florida,66.66666666666667
2023,Florida Atlantic,64.16666666666667
2023,Florida International,61.25
2023,Florida State,63.714285714285715
2023,Fresno State,67.23076923076923
2023,Georgia,68.21428571428571
2023,Georgia Southern,72.53846153846153
2023,Georgia State,66.92307692307692
2023,Georgia Tech,65.92307692307692
2023,Hawai'i,65.15384615384616
2023,Houston,63.416666666666664
2023,Illinois,66.75
2023,Indiana,65.41666666666667
2023,Iowa,59.142857142857146
2023,Iowa State,57.84615384615385
2023,Jacksonville State,76.3076923076923
2023,James Madison,66.53846153846153
2023,Kansas,62.07692307692308
2023,Kansas State,73.61538461538461
2023,Kent State,62.083333333333336
2023,Kentucky,54.46153846153846
2023,Liberty,68.57142857142857
