team,game_number,date_raw,opponent_raw,opponent_matched,home_away,match_confidence
Air Force,1,Sept. 5,Sept.5 Duquesne,,home,0.0
Air Force,2,Sept. 12,Sept.12 North Dakota State,North Dakota State,home,1.0
Air Force,3,Sept. 26,Sept.26 at Nevada,Nevada,away,1.0
Air Force,4,Oct. 3,Oct.3 = Navy,Navy,home,0.8
Air Force,5,Oct. 10,<Oct.10 = at Northern Illinois -,Northern Illinois,away,0.85
Air Force,6,Oct. 17,Oct.17 = UNLV,UNLV,home,0.8
Air Force,7,Oct. 24,Oct.24 at Wyoming,Wyoming,away,1.0
Air Force,8,Oct. 37,Oct.37 UConn,UConn,home,1.0
Air Force,9,,Nov? atArmy,,away,0.0
Air Force,10,Nov. 14,Nov.14 San Jose State,San Jose State,home,1.0
Air Force,11,Nov. 21,Nov21 UTEP,UTEP,home,1.0
Air Force,12,Nov. 28,Nov.28 atNew Mexico,New Mexico,away,0.91
Akron,1,Sept. 3,at Wake Forest,Wake Forest,away,1.0
Akron,2,Sept. 12,Robert Morris,,home,
Akron,3,Sept. 19,at Minnesota,Minnesota,away,1.0
Akron,4,Sept. 26,UNLV,UNLV,home,1.0
Akron,5,Oct. 3,at Central Michigan,Central Michigan,away,1.0
Akron,6,Oct. 10,Eastern Michigan,Eastern Michigan,home,1.0
Akron,7,Oct. 17,at Miami (Ohio),Miami (Ohio),away,1.0
Akron,8,Oct. 24,at Kent State,Kent State,away,1.0
Akron,9,Nov. 3,Ohio,Ohio,home,1.0
Akron,10,Nov. 10,Western Michigan,Western Michigan,home,1.0
Akron,11,Nov. 18,at UMass,UMass,away,1.0
Akron,12,Nov. 27,Buffalo,Buffalo,home,1.0
Alabama,1,Sept. 5,Sept.5 =©East Carolina,East Carolina,home,0.93
Alabama,2,Sept. 12,Sept12 at Kentucky,Kentucky,away,1.0
Alabama,3,Sept. 19,Sept.19 Florida State,Florida State,home,1.0
Alabama,4,Sept. 20,Sep 20 South fal,,home,0.7
Alabama,5,Oct. 3,Oct.3 at Mississippi State,Mississippi State,away,1.0
Alabama,6,,ey ee,,home,0.0
Alabama,7,,a ee,,home,0.0
Alabama,8,,yo,,home,0.0
Alabama,9,Nov. 14,Nov.14 at Vanderbilt,Vanderbilt,away,1.0
Alabama,10,,Chattanooga,,home,0.0
Alabama,11,,nay,Navy,home,0.86
Alabama,12,,Noy 98) Auburn,,home,0.6
Appalachian State,1,Sept. 5,Sept.5 Maine,,home,0.57
Appalachian State,2,,Sept.l2 at East Caroline,,away,0.71
Appalachian State,3,Sept. 19,sept. 19 Charlotte,Charlotte,home,1.0
Appalachian State,4,Sept. 26,sept. 26 at NC State,NC State,away,1.0
Appalachian State,5,,get19 Old Dominion,Old Dominion,home,0.8
Appalachian State,6,Oct. 16,Oct.16 atCoastal Carolina,Coastal Carolina,away,0.94
Appalachian State,7,,Madison,,home,0.7
Appalachian State,8,Oct. 22,Oct.22 James,,home,0.56
Appalachian State,9,Oct. 31,Oct.31 at Georgia Southern,Georgia Southern,away,1.0
Appalachian State,10,Nov. 7,Nov.7 Georgia State,Georgia State,home,1.0
Appalachian State,11,Nov. 14,Nov.14 at Marshall,Marshall,away,1.0
Appalachian State,12,Nov. 21,Nov. 21 ULM,ULM,home,1.0
Appalachian State,13,Nov. 28,Nov.28 atSouth Alabama,South Alabama,away,0.93
Arizona,1,Sept. 5,Sept.5 Northern Arizona,,home,0.67
Arizona,2,,Sept.l2 at BYU,,away,0.0
Arizona,3,,SeBLIS. Northern Mino's _),,home,0.62
Arizona,4,,eis) at Washington St,Washington State,away,0.76
Arizona,5,,Cincinnati,Cincinnati,home,1.0
