predictor,outcome,n,pearson_r,spearman_r
prior_avg_margin,outcome_win_pct,398,0.5101053291945884,0.4821568911076754
prior_sp_rating,outcome_win_pct,398,0.49421748375018465,0.462118994982539
prior_net_ppa,outcome_win_pct,398,0.46052379811482674,0.43228722712872586
prior_win_pct,outcome_win_pct,398,0.4581001766901466,0.45022838463761133
prior_net_successRate,outcome_win_pct,398,0.44744930003686395,0.41996356127716417
prior_net_havoc,outcome_win_pct,398,0.41914471393989283,0.41064582633216307
prior_sp_def_rating,outcome_win_pct,398,-0.39708182380239976,-0.3829397486184306
prior_off_havoc_total,outcome_win_pct,398,-0.37538770101192714,-0.380396346336781
prior_sp_off_rating,outcome_win_pct,398,0.3661004785275882,0.3601769191337109
prior_def_ppa,outcome_win_pct,398,-0.3659340753838495,-0.3494337210896216
prior_def_successRate,outcome_win_pct,398,-0.3505664245753672,-0.3482178692782758
prior_off_ppa,outcome_win_pct,398,0.33872975811073003,0.33965374499698375
prior_off_successRate,outcome_win_pct,398,0.333052738755716,0.31888546182587335
incoming_recruit_points,outcome_win_pct,398,0.30375652788313784,0.2853907603674126
incoming_talent,outcome_win_pct,396,0.2542018531368463,0.27474166637761166
prior_def_havoc_total,outcome_win_pct,398,0.24311263215627263,0.2290986707202572
prior_ats_cover_pct,outcome_win_pct,398,0.22653611209046098,0.21210845252318508
incoming_ret_percentPPA,outcome_win_pct,398,0.17563793196759261,0.16512835960248712
incoming_ret_usage,outcome_win_pct,398,0.16552986655411608,0.15547531443587678
prior_sp_rating,outcome_avg_margin,398,0.5777309159740996,0.5468616253153904
prior_avg_margin,outcome_avg_margin,398,0.5662019658249456,0.5423134463769863
prior_net_ppa,outcome_avg_margin,398,0.518724156157657,0.49625269330035776
prior_net_successRate,outcome_avg_margin,398,0.5086092759503648,0.4898004458180037
prior_win_pct,outcome_avg_margin,398,0.49506718206243755,0.48419934263228653
prior_sp_def_rating,outcome_avg_margin,398,-0.45503540397673875,-0.45369136643220853
prior_net_havoc,outcome_avg_margin,398,0.44416381054477394,0.44512560103902293
prior_sp_off_rating,outcome_avg_margin,398,0.4371463866844943,0.42566182090189686
incoming_recruit_points,outcome_avg_margin,398,0.4182665516493806,0.39267326808519193
prior_def_ppa,outcome_avg_margin,398,-0.4014612945114988,-0.3915659391313836
prior_off_ppa,outcome_avg_margin,398,0.3907407631707143,0.3890746345950455
prior_off_successRate,outcome_avg_margin,398,0.38920628907334015,0.37482248127462625
prior_def_successRate,outcome_avg_margin,398,-0.3864319531258467,-0.3994831424865226
prior_off_havoc_total,outcome_avg_margin,398,-0.38073492661457037,-0.3891281101382602
incoming_talent,outcome_avg_margin,396,0.3642272736964441,0.3882275854717356
prior_def_havoc_total,outcome_avg_margin,398,0.2770161904729736,0.2744009252680036
prior_ats_cover_pct,outcome_avg_margin,398,0.21695585752756266,0.1916769586713908
incoming_ret_percentPPA,outcome_avg_margin,398,0.161433005292192,0.17209962885319469
incoming_ret_usage,outcome_avg_margin,398,0.15693652406087752,0.1653929952816751
prior_off_successRate,outcome_ats_cover_pct,398,-0.07956064491881436,-0.09469892653602519
prior_net_successRate,outcome_ats_cover_pct,398,-0.07322272201024255,-0.08114275531388074
prior_off_havoc_total,outcome_ats_cover_pct,398,0.0558778637885569,0.0638970416194757
prior_net_havoc,outcome_ats_cover_pct,398,-0.05570014157322049,-0.06046403703443062
prior_net_ppa,outcome_ats_cover_pct,398,-0.04653230208795113,-0.06877524127968238
prior_sp_off_rating,outcome_ats_cover_pct,398,-0.041691849164148746,-0.05261126291824873
prior_off_ppa,outcome_ats_cover_pct,398,-0.04097114688994364,-0.050485269184960095
incoming_ret_percentPPA,outcome_ats_cover_pct,398,0.04057222265334675,0.04491245361522814
prior_avg_margin,outcome_ats_cover_pct,398,-0.030169965153741932,-0.053858288079340406
prior_win_pct,outcome_ats_cover_pct,398,-0.029121519044934166,-0.030773446034649765
prior_def_ppa,outcome_ats_cover_pct,398,0.029118278859664146,0.010148406506038677
prior_def_successRate,outcome_ats_cover_pct,398,0.028957982589408814,0.0015206236709336346
prior_sp_rating,outcome_ats_cover_pct,398,-0.027578773712945658,-0.0566101796681386
prior_def_havoc_total,outcome_ats_cover_pct,398,-0.025495499203125563,-0.025558946075469095
incoming_ret_usage,outcome_ats_cover_pct,398,0.02339239883583198,0.020932677043311015
prior_sp_def_rating,outcome_ats_cover_pct,398,0.022776974978689656,0.02180953691945824
prior_ats_cover_pct,outcome_ats_cover_pct,398,-0.015389361703903754,-0.009651877533148613
incoming_talent,outcome_ats_cover_pct,396,-0.008246678362165966,-0.02107533464768954
incoming_recruit_points,outcome_ats_cover_pct,398,-0.005286916422137353,-0.016374752864078513
