blended_rank,team,conference,blended_score,source_disagreement,model_proj_margin_2026,sp_plus,fpi,steele_power_poll_rank,national_forecast_rank,record_2025_overall,head_coach,returning_starters_offense,returning_starters_defense,incoming_recruit_points,incoming_ret_percentPPA
1,Ohio State,Big Ten,2.2669030186103467,0.42062759418804835,17.849894434443517,31.8,28.7,4,1,12-2,Ryan Day,8.0,3.0,301.23,0.683
2,Oregon,Big Ten,2.062683011382603,0.25103063293270955,15.937998036188949,28.3,25.3,2,6,13-2,Dan Lanning,7.0,8.0,303.22,0.753
3,Notre Dame,Independent,2.0566364449208825,0.26447356343479533,16.484106237916848,25.8,25.9,1,4,10-2,Marcus Freeman,7.0,8.0,299.28,0.512
4,Indiana,Big Ten,1.9083880760744605,0.23535475448401436,15.706176292364466,24.5,23.1,6,5,16-0,Curt Cignetti,,,226.46,0.166
5,Georgia,SEC,1.8871880694167027,0.2330593347456262,13.283784228422943,25.5,24.8,3,2,12-2,Kirby Smart,6.0,8.0,291.98,0.687
6,Texas Tech,Big 12,1.814787513148784,0.36848047827348274,16.83275436441746,23.1,20.0,13,12,12-2,Joey McGuire,6.0,5.0,250.26,0.534
7,Texas,SEC,1.7965328661216136,0.4206737905611143,11.00883295204801,23.7,26.9,5,3,10-3,Steve Sarkisian,6.0,5.0,291.18,0.721
8,Miami (Fla.),ACC,1.6414163286599115,0.190933619584824,11.838958035059052,21.0,21.8,9,7,13-3,Mario Cristobal,,,284.61,0.369
9,Texas A&M,SEC,1.5913778752511671,0.1318110899052063,12.380376815870347,20.3,20.0,12,9,11-2,Mike Elko,4.0,5.0,283.13,0.728
10,USC,Big Ten,1.4558090059817614,0.10264140029944556,11.975683080675438,16.8,17.0,10,14,9-4,Lincoln Riley,,,310.67,0.592
11,Alabama,SEC,1.4262131364225106,0.288701417845154,9.006618008767607,18.2,20.1,11,15,11-4,Kalen DeBoer,1.0,4.0,303.79,0.264
