team,games_played,in_season_margin_2026
Georgia,2,38.64
Texas,3,32.87
Indiana,2,29.98
Alabama,3,29.78
Northwestern,1,29.39
Ohio State,3,29.07
LSU,3,28.74
Miami (Fla.),2,28.17
Mississippi State,3,26.69
Florida,2,26.58
Utah,2,25.64
Penn State,3,25.43
Notre Dame,3,25.06
Tennessee,2,24.82
Nebraska,2,24.53
Iowa State,2,22.25
UMass,1,20.55
Louisville,2,18.28
Boise State,2,17.84
Virginia Tech,2,16.76
UCLA,3,16.61
Pitt,3,16.03
Texas A&M,3,15.97
Oklahoma,3,15.61
Duke,3,14.8
South Carolina,2,14.65
Wisconsin,2,14.64
BYU,2,14.06
Kansas State,2,13.6
USC,4,13.4
New Mexico,2,13.12
Ole Miss,3,12.57
Houston,2,11.69
Missouri,2,11.13
Michigan,3,10.97
North Carolina,2,10.67
Kentucky,2,10.04
Michigan State,3,10.02
Baylor,2,10.0
SMU,2,9.85
North Dakota State,3,9.71
Iowa,2,9.38
Auburn,3,9.18
James Madison,2,8.54
Arizona,2,8.26
Virginia,2,6.65
Western Michigan,2,6.37
Oklahoma State,2,6.3
Texas Tech,2,5.92
North Texas,3,5.24
UTSA,2,4.73
Liberty,2,4.57
West Virginia,2,4.52
Maryland,2,4.37
Oregon State,2,4.32
Florida State,3,4.0
Wake Forest,3,3.46
TCU,2,3.31
Arizona State,2,3.31
Cincinnati,2,3.01
Nevada,2,2.93
Fresno State,3,2.72
Utah State,2,2.19
Memphis,3,2.17
Vanderbilt,2,1.51
Oregon,2,0.94
Washington,2,0.66
South Florida,2,-0.95
Georgia State,2,-0.97
UCF,2,-1.42
Illinois,2,-1.8
Colorado State,2,-1.83
Delaware,2,-2.25
NC State,2,-2.62
UConn,2,-2.63
Tulsa,2,-2.88
Georgia Southern,2,-3.56
Minnesota,2,-3.97
Syracuse,2,-4.09
Temple,2,-4.14
South Alabama,2,-4.24
Boston College,2,-4.45
Louisiana,2,-5.07
San Jose State,3,-5.13
Clemson,3,-5.14
Purdue,2,-5.84
Army,1,-6.32
FIU,3,-6.39
Middle Tennessee,2,-6.43
Tulane,3,-6.47
New Mexico State,2,-6.72
Washington State,2,-6.82
Georgia Tech,2,-6.88
Kansas,2,-6.92
Appalachian State,2,-7.64
Colorado,2,-8.26
Troy,2,-8.34
Texas State,3,-8.91
Toledo,2,-9.44
Arkansas,2,-9.51
Coastal Carolina,2,-9.83
East Carolina,3,-9.84
Cal,2,-10.55
Louisiana Tech,2,-11.1
Old Dominion,2,-11.19
Florida Atlantic,3,-11.61
UNLV,3,-11.93
Sam Houston,2,-12.05
Navy,1,-12.11
Charlotte,2,-12.12
UAB,3,-12.27
Ohio,3,-12.6
Hawai'i,3,-12.67
Central Michigan,2,-12.77
Stanford,3,-12.9
San Diego State,2,-13.9
Arkansas State,2,-15.19
Jacksonville State,3,-15.67
Rutgers,3,-16.4
Miami (Ohio),2,-16.56
Rice,2,-17.06
Northern Illinois,2,-17.54
Marshall,3,-18.31
Air Force,1,-18.71
Missouri State,2,-20.27
Akron,2,-20.96
UTEP,2,-23.11
Buffalo,2,-23.9
Wyoming,2,-25.05
Eastern Michigan,4,-25.59
Kennesaw State,2,-25.86
WKU,3,-26.48
Ball State,2,-30.36
Sacramento State,3,-30.86
ULM,2,-31.14
Southern Miss,2,-31.61
Kent State,2,-33.3
Bowling Green,2,-42.7
