game_id,provider,home,away,start_date,spread_first,spread_last,spread_move,ou_first,ou_last,ou_move,ml_move,n_snapshots
401856634,Bovada,Alabama,East Carolina,2026-09-05T16:00:00.000Z,-28.5,-28.5,0.0,54.0,54.0,0.0,0.0,25
401856634,DraftKings,Alabama,East Carolina,2026-09-05T16:00:00.000Z,-25.5,-25.5,0.0,,,,,25
401856636,Bovada,Auburn,Baylor,2026-09-05T19:30:00.000Z,-7.0,-7.0,0.0,59.0,59.0,0.0,0.0,25
401856636,DraftKings,Auburn,Baylor,2026-09-05T19:30:00.000Z,-6.5,-6.5,0.0,59.5,59.5,0.0,0.0,25
401856637,Bovada,Florida,Florida Atlantic,2026-09-05T23:45:00.000Z,-26.5,-26.5,0.0,58.5,58.5,0.0,0.0,25
401856637,DraftKings,Florida,Florida Atlantic,2026-09-05T23:45:00.000Z,-25.5,-25.5,0.0,,,,,25
401856660,Bovada,LSU,Clemson,2026-09-05T23:30:00.000Z,-9.5,-9.5,0.0,50.5,50.5,0.0,0.0,25
401856660,DraftKings,LSU,Clemson,2026-09-05T23:30:00.000Z,-10.5,-10.5,0.0,50.5,50.5,0.0,0.0,25
401856661,Bovada,Ole Miss,Louisville,2026-09-06T23:30:00.000Z,-6.5,-6.5,0.0,55.5,55.5,0.0,0.0,25
401856661,DraftKings,Ole Miss,Louisville,2026-09-06T23:30:00.000Z,-6.5,-6.5,0.0,55.5,55.5,0.0,0.0,25
401856662,Bovada,Mississippi State,UL Monroe,2026-09-05T23:30:00.000Z,-28.5,-28.5,0.0,55.5,55.5,0.0,0.0,25
401856662,DraftKings,Mississippi State,UL Monroe,2026-09-05T23:30:00.000Z,-28.5,-28.5,0.0,,,,,25
401856664,Bovada,Oklahoma,UTEP,2026-09-05T00:00:00.000Z,-40.5,-40.5,0.0,50.5,50.5,0.0,,25
401856664,DraftKings,Oklahoma,UTEP,2026-09-05T00:00:00.000Z,-40.5,-40.5,0.0,,,,,25
401856665,Bovada,South Carolina,Kent State,2026-09-05T16:45:00.000Z,-36.5,-36.5,0.0,53.0,53.0,0.0,0.0,25
401856665,DraftKings,South Carolina,Kent State,2026-09-05T16:45:00.000Z,-34.5,-34.5,0.0,,,,,25
401856667,Bovada,Texas,Texas State,2026-09-05T19:30:00.000Z,-30.5,-30.5,0.0,60.0,60.0,0.0,0.0,25
401856667,DraftKings,Texas,Texas State,2026-09-05T19:30:00.000Z,-30.5,-30.5,0.0,,,,,25
401856668,Bovada,Texas A&M,Missouri State,2026-09-05T23:00:00.000Z,-39.5,-40.5,-1.0,52.5,52.5,0.0,,25
401856668,DraftKings,Texas A&M,Missouri State,2026-09-05T23:00:00.000Z,-38.5,-38.5,0.0,,,,,25
401856766,Bovada,TCU,North Carolina,2026-08-29T16:00:00.000Z,-7.5,-8.5,-1.0,47.5,47.5,0.0,0.0,25
401856766,DraftKings,TCU,North Carolina,2026-08-29T16:00:00.000Z,-6.5,-6.5,0.0,49.5,49.5,0.0,0.0,25
401856772,Bovada,Tulsa,Oklahoma State,2026-09-05T19:45:00.000Z,13.5,14.0,0.5,61.0,61.0,0.0,0.0,25
401856772,DraftKings,Tulsa,Oklahoma State,2026-09-05T19:45:00.000Z,11.5,11.5,0.0,,,,,25
401856776,Bovada,Georgia Tech,Colorado,2026-09-04T00:00:00.000Z,-7.0,-7.0,0.0,51.0,51.0,0.0,0.0,25
401856776,DraftKings,Georgia Tech,Colorado,2026-09-04T00:00:00.000Z,-7.0,-7.0,0.0,,,,,25
401856777,Bovada,Cincinnati,Boston College,2026-09-05T19:30:00.000Z,-7.5,-7.5,0.0,54.5,54.0,-0.5,0.0,25
401856777,DraftKings,Cincinnati,Boston College,2026-09-05T19:30:00.000Z,-9.5,-9.5,0.0,,,,,25
401856778,Bovada,Houston,Oregon State,2026-09-05T16:00:00.000Z,-20.0,-20.0,0.0,51.0,51.0,0.0,0.0,25
401856778,DraftKings,Houston,Oregon State,2026-09-05T16:00:00.000Z,-18.5,-18.5,0.0,,,,,25
401856780,Bovada,West Virginia,Coastal Carolina,2026-09-05T16:00:00.000Z,-21.5,-21.5,0.0,58.0,58.0,0.0,0.0,25
401856780,DraftKings,West Virginia,Coastal Carolina,2026-09-05T16:00:00.000Z,-17.5,-17.5,0.0,,,,,25
401858201,Bovada,Stanford,Hawai'i,2026-08-29T23:00:00.000Z,-5.5,-5.5,0.0,49.5,49.5,0.0,0.0,25
401858201,DraftKings,Stanford,Hawai'i,2026-08-29T23:00:00.000Z,-3.0,-3.0,0.0,,,,,25
401858202,Bovada,Virginia,NC State,2026-08-29T19:30:00.000Z,-5.5,-6.0,-0.5,53.0,53.5,0.5,0.0,25
401858202,DraftKings,Virginia,NC State,2026-08-29T19:30:00.000Z,-3.0,-3.0,0.0,53.5,53.5,0.0,0.0,25
401858204,Bovada,Wake Forest,Akron,2026-09-03T23:00:00.000Z,-22.5,-23.5,-1.0,49.5,50.0,0.5,0.0,25
401858204,DraftKings,Wake Forest,Akron,2026-09-03T23:00:00.000Z,-22.5,-22.5,0.0,,,,,25
401858206,Bovada,Stanford,Miami,2026-09-05T01:00:00.000Z,23.5,24.5,1.0,49.5,48.5,-1.0,0.0,25
401858206,DraftKings,Stanford,Miami,2026-09-05T01:00:00.000Z,21.5,21.5,0.0,,,,,25
401858207,Bovada,Pittsburgh,Miami (OH),2026-09-05T16:00:00.000Z,-16.5,-16.0,0.5,50.5,50.5,0.0,0.0,25
401858207,DraftKings,Pittsburgh,Miami (OH),2026-09-05T16:00:00.000Z,-16.5,-16.5,0.0,,,,,25
401858209,Bovada,Duke,Tulane,2026-09-05T19:30:00.000Z,-9.5,-8.5,1.0,52.0,52.0,0.0,0.0,25
401858209,DraftKings,Duke,Tulane,2026-09-05T19:30:00.000Z,-8.5,-8.5,0.0,,,,,25
401858210,Bovada,California,UCLA,2026-09-06T02:30:00.000Z,1.5,1.5,0.0,54.5,54.5,0.0,0.0,25
401858210,DraftKings,California,UCLA,2026-09-06T02:30:00.000Z,-1.5,-1.5,0.0,53.5,53.5,0.0,,25
401858212,Bovada,Florida State,SMU,2026-09-07T23:30:00.000Z,2.5,2.5,0.0,53.5,53.5,0.0,0.0,25
401858212,DraftKings,Florida State,SMU,2026-09-07T23:30:00.000Z,2.5,2.5,0.0,52.5,52.5,0.0,0.0,25
401858423,Bovada,Rutgers,Massachusetts,2026-09-03T22:00:00.000Z,-30.5,-30.5,0.0,54.5,54.5,0.0,,25
401858423,DraftKings,Rutgers,Massachusetts,2026-09-03T22:00:00.000Z,-30.5,-30.5,0.0,,,,,25
401858424,Bovada,Illinois,UAB,2026-09-04T01:00:00.000Z,-27.5,-28.5,-1.0,57.0,57.0,0.0,0.0,25
401858424,DraftKings,Illinois,UAB,2026-09-04T01:00:00.000Z,-27.5,-27.5,0.0,,,,,25
401858425,Bovada,Indiana,North Texas,2026-09-05T16:00:00.000Z,-41.0,-41.0,0.0,55.5,55.5,0.0,,25
401858425,DraftKings,Indiana,North Texas,2026-09-05T16:00:00.000Z,-40.5,-40.5,0.0,,,,,25
401858426,Bovada,Iowa,Northern Illinois,2026-09-05T20:15:00.000Z,-31.0,-31.0,0.0,45.5,45.5,0.0,0.0,25
401858426,DraftKings,Iowa,Northern Illinois,2026-09-05T20:15:00.000Z,-29.5,-29.5,0.0,,,,,25
401858428,Bovada,Michigan,Western Michigan,2026-09-05T23:30:00.000Z,-26.5,-27.5,-1.0,47.5,47.5,0.0,0.0,25
401858428,DraftKings,Michigan,Western Michigan,2026-09-05T23:30:00.000Z,-26.5,-26.5,0.0,,,,,25
401858429,Bovada,Michigan State,Toledo,2026-09-05T00:00:00.000Z,-10.5,-10.5,0.0,49.5,49.5,0.0,0.0,25
401858429,DraftKings,Michigan State,Toledo,2026-09-05T00:00:00.000Z,-10.5,-10.5,0.0,,,,,25
401858430,Bovada,Nebraska,Ohio,2026-09-05T16:00:00.000Z,-24.0,-24.0,0.0,47.5,47.5,0.0,0.0,25
401858430,DraftKings,Nebraska,Ohio,2026-09-05T16:00:00.000Z,-23.5,-23.5,0.0,,,,,25
401858432,Bovada,Ohio State,Ball State,2026-09-05T16:30:00.000Z,-51.0,-51.0,0.0,56.5,56.5,0.0,,25
401858432,DraftKings,Ohio State,Ball State,2026-09-05T16:30:00.000Z,-49.5,-49.5,0.0,,,,,25
401858433,Bovada,Oregon,Boise State,2026-09-05T19:30:00.000Z,-24.5,-24.5,0.0,52.0,52.0,0.0,0.0,25
401858433,DraftKings,Oregon,Boise State,2026-09-05T19:30:00.000Z,-24.5,-24.5,0.0,,,,,25
401858434,Bovada,Penn State,Marshall,2026-09-05T19:30:00.000Z,-24.5,-24.0,0.5,54.5,54.5,0.0,0.0,25
401858434,DraftKings,Penn State,Marshall,2026-09-05T19:30:00.000Z,-23.5,-23.5,0.0,,,,,25
401858436,Bovada,USC,Fresno State,2026-09-05T01:00:00.000Z,-22.5,-22.5,0.0,51.5,51.5,0.0,0.0,25
401858436,DraftKings,USC,Fresno State,2026-09-05T01:00:00.000Z,-23.5,-23.5,0.0,,,,,25
401858437,Bovada,Washington,Washington State,2026-09-06T20:00:00.000Z,-23.0,-23.0,0.0,50.5,50.5,0.0,0.0,25
401858437,DraftKings,Washington,Washington State,2026-09-06T20:00:00.000Z,-21.5,-21.5,0.0,,,,,25
401858438,Bovada,Notre Dame,Wisconsin,2026-09-06T23:30:00.000Z,-20.5,-20.5,0.0,47.5,47.5,0.0,0.0,25
401858438,DraftKings,Notre Dame,Wisconsin,2026-09-06T23:30:00.000Z,-20.5,-20.5,0.0,47.5,47.5,0.0,0.0,25
401860878,Bovada,Colorado State,Wyoming,2026-09-05T22:00:00.000Z,-4.0,-3.5,0.5,48.0,48.0,0.0,0.0,25
401860878,DraftKings,Colorado State,Wyoming,2026-09-05T22:00:00.000Z,-4.0,-4.0,0.0,,,,,25
401862693,Bovada,UNLV,Memphis,2026-08-30T02:00:00.000Z,-5.5,-5.5,0.0,57.5,57.5,0.0,0.0,25
401862693,DraftKings,UNLV,Memphis,2026-08-30T02:00:00.000Z,-3.0,-3.0,0.0,,,,,25
401862695,Bovada,Memphis,Arkansas State,2026-09-05T23:00:00.000Z,-10.0,-9.5,0.5,55.5,55.5,0.0,0.0,25
401862695,DraftKings,Memphis,Arkansas State,2026-09-05T23:00:00.000Z,-10.5,-10.5,0.0,,,,,25
401862699,Bovada,South Florida,Florida International,2026-09-05T23:00:00.000Z,-12.5,-12.5,0.0,55.0,55.0,0.0,0.0,25
401862699,DraftKings,South Florida,Florida International,2026-09-05T23:00:00.000Z,-12.5,-12.5,0.0,,,,,25
401864432,Bovada,Nevada,Western Kentucky,2026-09-06T02:30:00.000Z,3.0,2.5,-0.5,53.0,53.0,0.0,0.0,25
401864432,DraftKings,Nevada,Western Kentucky,2026-09-06T02:30:00.000Z,4.0,4.0,0.0,,,,,25
401864494,Bovada,USC,San José State,2026-08-29T19:00:00.000Z,-38.0,-38.0,0.0,59.5,59.5,0.0,0.0,25
401864494,DraftKings,USC,San José State,2026-08-29T19:00:00.000Z,-35.5,-35.5,0.0,,,,,25
401864495,Bovada,Eastern Michigan,San José State,2026-09-04T22:30:00.000Z,-4.5,-4.5,0.0,53.5,53.5,0.0,0.0,25
401864495,DraftKings,Eastern Michigan,San José State,2026-09-04T22:30:00.000Z,-3.5,-3.5,0.0,,,,,25
401864497,Bovada,Hawai'i,UNLV,2026-09-06T02:00:00.000Z,2.5,2.5,0.0,58.5,58.5,0.0,0.0,25
401864497,DraftKings,Hawai'i,UNLV,2026-09-06T02:00:00.000Z,1.5,1.5,0.0,,,,,25
401864498,Bovada,New Mexico,Central Michigan,2026-09-06T02:00:00.000Z,-13.0,-12.5,0.5,49.0,49.0,0.0,0.0,25
401864498,DraftKings,New Mexico,Central Michigan,2026-09-06T02:00:00.000Z,-12.5,-12.5,0.0,,,,,25
401864570,Bovada,Florida State,New Mexico State,2026-08-29T23:00:00.000Z,-31.0,-31.0,0.0,53.0,53.0,0.0,0.0,25
401864570,DraftKings,Florida State,New Mexico State,2026-08-29T23:00:00.000Z,-29.5,-29.5,0.0,,,,,25
401864577,Bovada,North Dakota State,Jacksonville State,2026-08-29T21:30:00.000Z,-7.0,-7.0,0.0,47.5,48.0,0.5,0.0,25
401864577,DraftKings,North Dakota State,Jacksonville State,2026-08-29T21:30:00.000Z,-10.0,-10.0,0.0,,,,,25
401866408,Bovada,Eastern Michigan,Sacramento State,2026-08-29T22:30:00.000Z,-8.5,-9.5,-1.0,52.5,52.5,0.0,0.0,25
401866408,DraftKings,Eastern Michigan,Sacramento State,2026-08-29T22:30:00.000Z,-8.5,-8.5,0.0,,,,,25
401869960,Bovada,James Madison,Liberty,2026-09-05T16:00:00.000Z,-6.5,-6.5,0.0,51.5,53.0,1.5,0.0,25
401869960,DraftKings,James Madison,Liberty,2026-09-05T16:00:00.000Z,-6.0,-6.0,0.0,,,,,25
401870763,Bovada,Troy,Sam Houston,2026-09-05T23:00:00.000Z,-16.0,-16.5,-0.5,51.5,51.5,0.0,0.0,25
401870763,DraftKings,Troy,Sam Houston,2026-09-05T23:00:00.000Z,-16.5,-16.5,0.0,,,,,25
