season,gid,home,away,n_books,margin,consensus,best_home,best_away,book_spread_range,home_consensus_result,home_best_result,away_consensus_result,away_best_result
2022,401426553,Army,UTSA,4,-3,1.875,2.0,-1.5,0.5,-1.125,-1.0,1.125,1.5
2022,401411101,Georgia Tech,Clemson,4,-31,24.375,24.5,-24.0,0.5,-6.625,-6.5,6.625,7.0
2022,401423155,St. Thomas (MN),Drake,2,12,-16.5,-16.5,16.5,0.0,-4.5,-4.5,4.5,4.5
2022,401418832,Illinois State,South Dakota,2,2,1.5,1.5,-1.5,0.0,3.5,3.5,-3.5,-3.5
2022,401418840,Youngstown State,Indiana State,2,6,-12.25,-12.0,12.5,0.5,-6.25,-6.0,6.25,6.5
2022,401420834,North Dakota State,South Dakota State,2,-2,-4.0,-4.0,4.0,0.0,-6.0,-6.0,6.0,6.0
2022,401421113,Valparaiso,Butler,2,-1,-10.5,-10.5,10.5,0.0,-11.5,-11.5,11.5,11.5
2022,401421160,Furman,Western Carolina,2,7,-9.5,-9.5,9.5,0.0,-2.5,-2.5,2.5,2.5
2022,401404081,Oklahoma,Kansas State,4,-7,-13.625,-13.5,14.0,0.5,-20.625,-20.5,20.625,21.0
2022,401403893,Texas A&M,Arkansas,4,2,-1.5,-1.0,2.0,1.0,0.5,1.0,-0.5,0.0
2022,401404080,Iowa State,Baylor,4,-7,-2.5,-2.5,2.5,0.0,-9.5,-9.5,9.5,9.5
2022,401404082,Texas Tech,Texas,4,3,7.0,7.0,-7.0,0.0,10.0,10.0,-10.0,-10.0
2022,401404079,Kansas,Duke,4,8,-7.125,-7.0,7.5,0.5,0.875,1.0,-0.875,-0.5
2022,401415642,East Carolina,UCF,4,21,5.5,6.0,-5.0,1.0,26.5,27.0,-26.5,-26.0
2022,401416625,Ohio,Northern Illinois,4,7,2.5,2.5,-2.5,0.0,9.5,9.5,-9.5,-9.5
2022,401426355,James Madison,Marshall,4,-14,-10.25,-9.5,12.5,3.0,-24.25,-23.5,24.25,26.5
2022,401426357,Louisiana,Arkansas State,4,20,-6.25,-6.0,6.5,0.5,13.75,14.0,-13.75,-13.5
2022,401426358,Texas State,Southern Miss,4,-6,2.5,2.5,-2.5,0.0,-3.5,-3.5,3.5,3.5
2022,401416633,Ohio,Buffalo,4,21,2.5,2.5,-2.5,0.0,23.5,23.5,-23.5,-23.5
2022,401403920,Ole Miss,Auburn,4,14,-15.375,-15.0,15.5,0.5,-1.375,-1.0,1.375,1.5
2022,401403917,Florida,LSU,4,-10,-2.0,-2.0,2.0,0.0,-12.0,-12.0,12.0,12.0
2022,401404140,Army,UL Monroe,4,24,-6.5,-6.5,6.5,0.0,17.5,17.5,-17.5,-17.5
