team,steele_power_poll_rank
Notre Dame,1
Oregon,2
Georgia,3
Ohio St,4
Texas,5
Indiana,6
Oklahoma,7
Mississippi,8
Miami (FL),9
USC,10
Alabama,11
Texas A&M,12
Texas Tech,13
Michigan,14
Washington,15
South Carolina,16
BYU,17
Tennessee,18
Penn St,19
Iowa,20
LSU,21
SMU,22
Florida,23
Clemson,24
Florida St,25
Utah,26
Wisconsin,27
Pittsburgh,28
Auburn,29
UCLA,30
Houston,31
Nebraska,32
Missouri,33
Vanderbilt,34
Minnesota,35
Louisville,36
TCU,37
Arizona,38
Virginia,39
Virginia Tech,40
Illinois,41
Maryland,42
Baylor,43
Georgia Tech,44
UCF,45
Rutgers,46
Boise St,47
Kansas,48
Northwestern,49
UTSA,50
Mississippi St,51
NC State,52
Duke,53
Fresno St,54
Arkansas,55
Kentucky,56
West Virginia,57
Wake Forest,58
Kansas St,59
North Carolina,60
Texas St,61
Colorado,62
Michigan St,63
Oklahoma St,64
Purdue,65
James Madison,66
Syracuse,67
New Mexico,68
Navy,69
Stanford,70
San Diego St,71
Florida Atlantic,72
Arizona St,73
Old Dominion,74
California,75
Western Michigan,76
Cincinnati,77
Tulane,78
Army,79
UNLV,80
Tulsa,81
South Florida,82
Liberty,83
Air Force,84
Marshall,85
East Carolina,86
Memphis,87
Miami (OH),88
Louisiana,89
Louisiana Tech,90
Boston College,91
Utah St,92
Eastern Michigan,93
Jacksonville St,94
Washington St,95
Colorado St,96
North Texas,97
Toledo,98
Hawaii,99
Iowa St,100
North Dakota St,101
Western Kentucky,102
Arkansas St,103
Temple,104
Wyoming,105
Troy,106
Appalachian St,107
Delaware,108
FIU,109
Ohio,110
Kennesaw St,111
Nevada,112
Rice,113
Oregon St,114
Georgia Southern,115
New Mexico St,116
Akron,117
Coastal Carolina,118
Bowling Green,119
South Alabama,120
Central Michigan,121
Charlotte,122
ULM,123
Middle Tennessee,124
UAB,125
UTEP,126
Buffalo,127
Connecticut,128
Georgia St,129
Kent St,130
San Jose St,131
Sam Houston St,132
Missouri St,133
Northern Illinois,134
Massachusetts,135
Ball St,136
Southern Miss,137
Sacramento St,138
