team,page
Air Force,266
Akron,330
Alabama,64
Appalachian State,290
Arizona,182
Arizona State,190
Arkansas,90
Arkansas State,304
Army,222
Auburn,78
BYU,176
Ball State,334
Baylor,196
Boise State,244
Boston College,168
Bowling Green,328
Buffalo,326
Cal,162
Central Michigan,324
Charlotte,240
Cincinnati,194
Clemson,140
Coastal Carolina,294
Colorado,202
Colorado State,256
Delaware,350
Duke,156
East Carolina,220
Eastern Michigan,322
FIU,352
Florida,80
Florida Atlantic,230
Florida State,154
Fresno State,246
Georgia,60
Georgia Southern,292
Georgia State,296
Georgia Tech,152
Hawai'i,268
Houston,180
Illinois,116
Indiana,98
Iowa,110
Iowa State,204
Jacksonville State,346
James Madison,284
Kansas,198
Kansas State,188
Kennesaw State,348
Kent State,332
Kentucky,88
LSU,74
Liberty,342
Louisiana,298
Louisiana Tech,302
Louisville,142
Marshall,288
Maryland,124
Memphis,224
Miami (Fla.),136
Miami (Ohio),316
Michigan,104
Michigan State,128
Middle Tennessee,356
Minnesota,114
Mississippi State,86
Missouri,84
Missouri State,358
NC State,150
Navy,214
Nebraska,112
Nevada,274
New Mexico,262
New Mexico State,354
North Carolina,158
North Dakota State,270
North Texas,234
Northern Illinois,280
Northwestern,120
Notre Dame,208
Ohio,320
Ohio State,96
Oklahoma,66
Oklahoma State,200
Old Dominion,286
Ole Miss,68
Oregon,100
Oregon State,258
Penn State,106
Pitt,144
Purdue,130
Rice,236
Rutgers,126
SMU,138
Sacramento State,338
Sam Houston,360
San Diego State,248
San Jose State,278
South Alabama,306
South Carolina,76
South Florida,226
Southern Miss,310
Stanford,166
Syracuse,164
TCU,184
Temple,232
Tennessee,72
Texas,62
Texas A&M,70
Texas State,250
Texas Tech,174
Toledo,318
Troy,300
Tulane,218
Tulsa,228
UAB,238
UCF,186
UCLA,122
UConn,210
ULM,308
UMass,336
UNLV,264
USC,102
UTEP,276
UTSA,216
Utah,178
Utah State,254
Vanderbilt,82
Virginia,146
Virginia Tech,148
WKU,344
Wake Forest,160
Washington,108
Washington State,252
West Virginia,192
Western Michigan,314
Wisconsin,118
Wyoming,272
