year,week,game_id,date,away,home,model_pick,model_margin_signed,actual_winner,actual_margin,away_pts,home_pts,correct_pick,margin_error,market_home_margin,ats_result,model_side_covered,model_total,market_total,actual_total,total_error_model,ou_result_model
2026,1,401864494,2026-08-29,San José State,USC,USC,39.0,USC,16,26,42,True,23.0,37.5,away_covered,False,53.7,61.5,68,14.3,over
2026,1,401864570,2026-08-29,New Mexico State,Florida State,Florida State,29.8,Florida State,17,17,34,True,12.8,31.0,away_covered,False,51.9,53.5,51,0.9,under
2026,1,401866408,2026-08-29,Sacramento State,Eastern Michigan,Eastern Michigan,8.5,Eastern Michigan,11,17,28,True,2.5,9.0,home_covered,True,52.4,52.5,45,7.4,under
2026,1,401856766,2026-08-29,North Carolina,TCU,TCU,7.7,North Carolina,-5,15,10,False,12.7,7.5,away_covered,False,51.5,46.5,25,26.5,under
2026,1,401858202,2026-08-29,NC State,Virginia,Virginia,5.6,Virginia,26,8,34,True,20.4,4.0,home_covered,True,52.2,50.5,42,10.2,under
2026,1,401864577,2026-08-29,Jacksonville State,North Dakota State,North Dakota State,4.3,North Dakota State,26,7,33,True,21.7,6.5,home_covered,True,53.1,46.5,40,13.1,under
2026,1,401858201,2026-08-29,Hawai'i,Stanford,Stanford,1.4,Stanford,10,27,37,True,8.6,4.5,home_covered,True,52.1,48.5,64,11.9,over
2026,1,401862693,2026-08-30,Memphis,UNLV,UNLV,4.9,Memphis,-6,27,21,False,10.9,4.5,away_covered,False,55.2,55.5,48,7.2,under
2026,1,401858423,2026-09-03,Massachusetts,Rutgers,Rutgers,33.5,Massachusetts,-16,37,21,False,49.5,29.5,away_covered,False,53.4,54.5,58,4.6,over
2026,1,401858204,2026-09-03,Akron,Wake Forest,Wake Forest,20.9,Wake Forest,22,16,38,True,1.1,27.5,away_covered,False,49.7,50.5,54,4.3,over
2026,1,401858424,2026-09-04,UAB,Illinois,Illinois,27.0,Illinois,19,23,42,True,8.0,25.5,away_covered,False,54.1,54.5,65,10.9,over
2026,1,401856776,2026-09-04,Colorado,Georgia Tech,Georgia Tech,10.2,Colorado,-1,14,13,False,11.2,6.5,away_covered,False,52.4,53.5,27,25.4,under
2026,1,401864495,2026-09-04,San José State,Eastern Michigan,Eastern Michigan,8.8,San José State,-6,27,21,False,14.8,1.5,away_covered,False,52.3,55.0,48,4.3,under
2026,1,401858432,2026-09-05,Ball State,Ohio State,Ohio State,53.7,Ohio State,53,3,56,True,0.7,50.5,home_covered,True,51.4,55.5,59,7.6,over
2026,1,401856664,2026-09-05,UTEP,Oklahoma,Oklahoma,39.0,Oklahoma,51,0,51,True,12.0,40.5,home_covered,True,50.9,51.5,51,0.1,over
