team,conference,blended_rank,games_scheduled,expected_wins,stdev_wins,fair_win_line,p10_wins,p25_wins,median_wins,p75_wins,p90_wins,prob_win_pct_avg,market_line,model_gap
Texas Tech,Big 12,6,12,10.64,1.07,10.5,9,10,11,11,12,0.886,10.5,0.14000000000000057
Notre Dame,Independent,3,12,10.52,1.06,10.5,9,10,11,11,12,0.877,11.5,-0.9800000000000004
Oregon,Big Ten,2,12,9.76,1.22,9.5,8,9,10,11,11,0.814,10.5,-0.7400000000000002
Indiana,Big Ten,4,12,9.64,1.25,9.5,8,9,10,11,11,0.803,10.5,-0.8599999999999994
Miami (Fla.),ACC,8,12,9.61,1.25,9.5,8,9,10,10,11,0.801,10.5,-0.8900000000000006
Ohio State,Big Ten,1,12,9.53,1.29,9.5,8,9,10,10,11,0.794,9.5,0.02999999999999936
Georgia,SEC,5,12,9.33,1.37,8.5,8,8,9,10,11,0.778,9.5,-0.16999999999999993
Utah,Big 12,19,12,9.19,1.39,8.5,7,8,9,10,11,0.766,8.5,0.6899999999999995
BYU,Big 12,15,12,8.91,1.38,8.5,7,8,9,10,11,0.742,8.5,0.41000000000000014
James Madison,Sun Belt East,56,12,8.72,1.46,8.5,7,8,9,10,11,0.727,8.5,0.22000000000000064
SMU,ACC,22,12,8.52,1.38,8.5,7,8,9,9,10,0.71,8.5,0.019999999999999574
Texas A&M,SEC,9,12,8.48,1.43,8.5,7,8,9,9,10,0.707,8.5,-0.019999999999999574
Texas,SEC,7,12,8.34,1.49,7.5,6,7,8,9,10,0.695,9.5,-1.1600000000000001
New Mexico,MWC,68,12,8.28,1.43,7.5,6,7,8,9,10,0.69,7.5,0.7799999999999994
Penn State,Big Ten,21,12,8.28,1.47,7.5,6,7,8,9,10,0.69,8.5,-0.22000000000000064
South Florida,American,65,12,8.21,1.5,7.5,6,7,8,9,10,0.685,8.5,-0.28999999999999915
USC,Big Ten,10,12,8.19,1.42,7.5,6,7,8,9,10,0.683,8.5,-0.3100000000000005
Toledo,MAC,79,12,8.19,1.5,7.5,6,7,8,9,10,0.682,7.5,0.6899999999999995
Clemson,ACC,24,12,8.0,1.5,7.5,6,7,8,9,10,0.667,7.5,0.5
Alabama,SEC,11,12,7.99,1.53,7.5,6,7,8,9,10,0.665,8.5,-0.5099999999999998
Iowa,Big Ten,20,12,7.98,1.44,7.5,6,7,8,9,10,0.665,7.5,0.4800000000000004
Washington,Big Ten,18,12,7.93,1.44,7.5,6,7,8,9,10,0.661,7.5,0.4299999999999997
Houston,Big 12,32,12,7.87,1.44,7.5,6,7,8,9,10,0.656,8.5,-0.6299999999999999
Ole Miss,SEC,13,12,7.86,1.49,7.5,6,7,8,9,10,0.655,7.5,0.3600000000000003
UNLV,MWC,64,12,7.84,1.57,7.5,6,7,8,9,10,0.653,7.5,0.33999999999999986
Western Michigan,MAC,71,12,7.82,1.48,7.5,6,7,8,9,10,0.652,7.5,0.3200000000000003
Liberty,CUSA,95,12,7.77,1.54,7.5,6,7,8,9,10,0.647,8.5,-0.7300000000000004
Old Dominion,Sun Belt East,77,12,7.76,1.56,7.5,6,7,8,9,10,0.647,7.5,0.2599999999999998
Arizona,Big 12,29,12,7.72,1.45,7.5,6,7,8,9,10,0.643,7.5,0.21999999999999975
Tennessee,SEC,16,12,7.7,1.52,7.5,6,7,8,9,10,0.641,7.5,0.20000000000000018
Virginia,ACC,36,12,7.69,1.54,7.5,6,7,8,9,10,0.641,7.5,0.1900000000000004
East Carolina,American,69,12,7.68,1.48,7.5,6,7,8,9,10,0.64,7.5,0.17999999999999972
Pitt,ACC,33,12,7.66,1.52,7.5,6,7,8,9,10,0.638,7.5,0.16000000000000014
UTSA,American,61,12,7.65,1.5,7.5,6,7,8,9,10,0.637,7.5,0.15000000000000036
Air Force,MWC,90,12,7.6,1.54,7.5,6,7,8,9,10,0.633,7.5,0.09999999999999964
Oklahoma,SEC,12,12,7.57,1.54,7.5,6,7,8,9,10,0.631,7.5,0.07000000000000028
Marshall,Sun Belt East,88,12,7.55,1.47,7.5,6,7,8,9,9,0.629,7.5,0.04999999999999982
Jacksonville State,CUSA,96,12,7.55,1.57,7.5,6,7,8,9,10,0.629,7.5,0.04999999999999982
Michigan,Big Ten,14,12,7.52,1.45,7.5,6,7,8,9,9,0.627,8.5,-0.9800000000000004
Louisiana,Sun Belt West,97,12,7.52,1.51,7.5,6,7,8,9,9,0.626,7.5,0.019999999999999574
Louisville,ACC,31,12,7.47,1.58,6.5,5,6,7,9,9,0.622,8.5,-1.0300000000000002
LSU,SEC,17,12,7.44,1.54,6.5,5,6,7,8,9,0.62,8.5,-1.0599999999999996
Hawai'i,MWC,81,12,7.44,1.59,6.5,5,6,7,9,9,0.62,7.5,-0.05999999999999961
Kansas State,Big 12,39,12,7.41,1.6,6.5,5,6,7,9,9,0.617,8.5,-1.0899999999999999
Miami (Ohio),MAC,92,12,7.39,1.51,6.5,5,6,7,8,9,0.616,7.5,-0.11000000000000032
Boise State,Pac-12,38,11,7.29,1.4,6.5,5,6,7,8,9,0.662,7.5,-0.20999999999999996
WKU,CUSA,82,12,7.23,1.42,6.5,5,6,7,8,9,0.603,6.5,0.7300000000000004
Navy,American,70,12,7.23,1.52,6.5,5,6,7,8,9,0.603,7.5,-0.2699999999999996
Florida State,ACC,28,12,7.16,1.52,6.5,5,6,7,8,9,0.596,6.5,0.6600000000000001
Memphis,American,75,12,7.14,1.54,6.5,5,6,7,8,9,0.595,7.5,-0.3600000000000003
San Diego State,Pac-12,49,11,7.07,1.51,6.5,5,6,7,8,9,0.643,6.5,0.5700000000000003
North Dakota State,MWC,98,12,7.06,1.55,6.5,5,6,7,8,9,0.588,,
Vanderbilt,SEC,27,12,7.04,1.54,6.5,5,6,7,8,9,0.587,5.5,1.54
Tulane,American,73,12,6.97,1.6,6.5,5,6,7,8,9,0.581,7.5,-0.5300000000000002
NC State,ACC,44,12,6.96,1.56,6.5,5,6,7,8,9,0.58,7.5,-0.54
Missouri,SEC,23,12,6.95,1.52,6.5,5,6,7,8,9,0.579,6.5,0.4500000000000002
Illinois,Big Ten,35,12,6.84,1.48,6.5,5,6,7,8,9,0.57,7.5,-0.6600000000000001
Ohio,MAC,102,12,6.83,1.59,6.5,5,6,7,8,9,0.57,6.5,0.33000000000000007
TCU,Big 12,37,12,6.82,1.54,6.5,5,6,7,8,9,0.568,6.5,0.3200000000000003
South Carolina,SEC,25,12,6.75,1.51,6.5,5,6,7,8,9,0.562,6.5,0.25
Louisiana Tech,Sun Belt West,91,12,6.64,1.56,6.5,5,6,7,8,9,0.553,5.5,1.1399999999999997
Fresno State,Pac-12,63,11,6.64,1.44,6.5,5,6,7,8,8,0.603,6.5,0.13999999999999968
Army,American,86,12,6.6,1.66,6.5,4,5,7,8,9,0.55,7.5,-0.9000000000000004
Troy,Sun Belt West,100,12,6.5,1.53,6.5,5,5,7,8,8,0.542,6.5,0.0
Auburn,SEC,30,12,6.44,1.51,5.5,5,5,6,7,8,0.536,6.5,-0.05999999999999961
Georgia Tech,ACC,40,12,6.43,1.54,5.5,4,5,6,7,8,0.536,6.5,-0.07000000000000028
Kennesaw State,CUSA,106,12,6.41,1.57,5.5,4,5,6,7,8,0.534,6.5,-0.08999999999999986
Arkansas State,Sun Belt West,105,12,6.41,1.57,5.5,4,5,6,7,8,0.534,6.5,-0.08999999999999986
UCF,Big 12,54,12,6.38,1.56,5.5,4,5,6,7,8,0.531,5.5,0.8799999999999999
North Texas,American,89,12,6.29,1.48,5.5,4,5,6,7,8,0.524,5.5,0.79
Nebraska,Big Ten,34,12,6.28,1.43,5.5,4,5,6,7,8,0.524,6.5,-0.21999999999999975
Florida,SEC,26,12,6.28,1.55,5.5,4,5,6,7,8,0.524,7.5,-1.2199999999999998
Wake Forest,ACC,48,12,6.26,1.54,5.5,4,5,6,7,8,0.521,5.5,0.7599999999999998
Duke,ACC,46,12,6.25,1.55,5.5,4,5,6,7,8,0.521,5.5,0.75
Texas State,Pac-12,67,11,6.23,1.46,5.5,4,5,6,7,8,0.566,6.5,-0.2699999999999996
Tulsa,American,101,12,6.21,1.56,5.5,4,5,6,7,8,0.517,5.5,0.71
Virginia Tech,ACC,45,12,6.2,1.56,5.5,4,5,6,7,8,0.517,6.5,-0.2999999999999998
Delaware,CUSA,104,12,6.19,1.55,5.5,4,5,6,7,8,0.516,6.5,-0.3099999999999996
FIU,CUSA,115,12,6.17,1.58,5.5,4,5,6,7,8,0.514,6.5,-0.33000000000000007
Baylor,Big 12,42,12,6.16,1.54,5.5,4,5,6,7,8,0.513,6.5,-0.33999999999999986
Kansas,Big 12,51,12,6.14,1.54,5.5,4,5,6,7,8,0.512,5.5,0.6399999999999997
Buffalo,MAC,118,12,6.13,1.5,5.5,4,5,6,7,8,0.511,5.5,0.6299999999999999
Eastern Michigan,MAC,116,12,6.12,1.55,5.5,4,5,6,7,8,0.51,5.5,0.6200000000000001
Minnesota,Big Ten,43,12,6.11,1.5,5.5,4,5,6,7,8,0.51,6.5,-0.3899999999999997
Wyoming,MWC,113,12,6.05,1.62,5.5,4,5,6,7,8,0.504,5.5,0.5499999999999998
Maryland,Big Ten,50,12,5.95,1.53,5.5,4,5,6,7,8,0.496,5.5,0.4500000000000002
Appalachian State,Sun Belt East,109,12,5.94,1.54,5.5,4,5,6,7,8,0.495,5.5,0.4400000000000004
Florida Atlantic,American,99,12,5.87,1.57,5.5,4,5,6,7,8,0.489,5.5,0.3700000000000001
Northwestern,Big Ten,41,12,5.84,1.41,5.5,4,5,6,7,8,0.487,5.5,0.33999999999999986
Temple,American,103,12,5.79,1.51,5.5,4,5,6,7,8,0.483,5.5,0.29000000000000004
Wisconsin,Big Ten,53,12,5.71,1.5,5.5,4,5,6,7,8,0.476,6.5,-0.79
Rutgers,Big Ten,58,12,5.64,1.47,5.5,4,5,6,7,8,0.47,4.5,1.1399999999999997
Cal,ACC,66,12,5.63,1.6,5.5,4,5,6,7,8,0.469,6.5,-0.8700000000000001
Central Michigan,MAC,114,12,5.61,1.55,5.5,4,5,6,7,8,0.468,6.5,-0.8899999999999997
Cincinnati,Big 12,60,12,5.58,1.51,5.5,4,5,6,7,7,0.465,5.5,0.08000000000000007
South Alabama,Sun Belt West,111,12,5.52,1.6,4.5,3,4,5,7,8,0.46,5.5,0.019999999999999574
Arizona State,Big 12,55,12,5.45,1.49,4.5,4,4,5,6,7,0.454,6.5,-1.0499999999999998
UConn,Independent,107,12,5.32,1.57,4.5,3,4,5,6,7,0.444,5.5,-0.17999999999999972
Bowling Green,MAC,120,12,5.32,1.46,4.5,3,4,5,6,7,0.443,4.5,0.8200000000000003
UCLA,Big Ten,62,12,5.22,1.56,4.5,3,4,5,6,7,0.435,6.5,-1.2800000000000002
Nevada,MWC,119,12,5.16,1.59,4.5,3,4,5,6,7,0.43,4.5,0.6600000000000001
West Virginia,Big 12,76,12,5.12,1.47,4.5,3,4,5,6,7,0.426,5.5,-0.3799999999999999
Iowa State,Big 12,78,12,5.09,1.48,4.5,3,4,5,6,7,0.424,4.5,0.5899999999999999
North Carolina,ACC,59,12,5.07,1.51,4.5,3,4,5,6,7,0.422,4.5,0.5700000000000003
Akron,MAC,121,12,4.91,1.54,4.5,3,4,5,6,7,0.409,4.5,0.41000000000000014
Southern Miss,Sun Belt West,117,12,4.9,1.55,4.5,3,4,5,6,7,0.408,3.5,1.4000000000000004
Georgia Southern,Sun Belt East,110,12,4.9,1.54,4.5,3,4,5,6,7,0.409,4.5,0.40000000000000036
Sacramento State,MAC,130,12,4.9,1.58,4.5,3,4,5,6,7,0.408,4.5,0.40000000000000036
Colorado,Big 12,74,12,4.88,1.56,4.5,3,4,5,6,7,0.407,4.5,0.3799999999999999
Washington State,Pac-12,83,11,4.84,1.47,4.5,3,4,5,6,7,0.44,4.5,0.33999999999999986
Mississippi State,SEC,47,12,4.79,1.43,4.5,3,4,5,6,7,0.399,4.5,0.29000000000000004
Utah State,Pac-12,93,11,4.7,1.42,4.5,3,4,5,6,7,0.428,4.5,0.20000000000000018
Oklahoma State,Big 12,80,12,4.63,1.5,4.5,3,4,5,6,7,0.386,6.5,-1.87
New Mexico State,CUSA,125,12,4.58,1.56,4.5,3,4,5,6,7,0.382,4.5,0.08000000000000007
Coastal Carolina,Sun Belt East,124,12,4.53,1.56,3.5,3,3,4,6,7,0.377,4.5,0.03000000000000025
Missouri State,CUSA,122,12,4.47,1.47,3.5,3,3,4,5,6,0.373,4.5,-0.03000000000000025
Kentucky,SEC,57,12,4.29,1.42,3.5,3,3,4,5,6,0.357,4.5,-0.20999999999999996
Syracuse,ACC,85,12,4.25,1.47,3.5,2,3,4,5,6,0.354,4.5,-0.25
Northern Illinois,MWC,126,12,4.21,1.47,3.5,2,3,4,5,6,0.351,3.5,0.71
San Jose State,MWC,128,13,4.17,1.54,3.5,2,3,4,5,6,0.321,4.5,-0.33000000000000007
