season,week,gid,home,away,neutral,conf_game,spread,spread_open,home_favorite,abs_spread,home_cover,line_move,home_rest,away_rest
2022,2,401426553,Army,UTSA,False,False,1.875,1.5,False,1.875,-1.0,0.375,6.0,6.0
2022,1,401411101,Georgia Tech,Clemson,True,True,24.375,21.0,False,24.375,-1.0,3.375,,
2022,4,401404081,Oklahoma,Kansas State,False,True,-13.625,-13.0,True,13.625,-1.0,-0.625,7.0,7.0
2022,4,401403893,Texas A&M,Arkansas,True,True,-1.5,-2.0,True,1.5,1.0,0.5,6.0,7.0
2022,4,401404080,Iowa State,Baylor,False,True,-2.5,-1.0,True,2.5,-1.0,-1.5,6.0,7.0
2022,4,401404082,Texas Tech,Texas,False,True,7.0,4.5,False,7.0,1.0,2.5,6.0,6.0
2022,4,401404079,Kansas,Duke,False,False,-7.125,-9.0,True,7.125,1.0,1.875,6.0,6.0
2022,8,401415642,East Carolina,UCF,False,True,5.5,4.5,False,5.5,1.0,1.0,7.0,9.0
2022,8,401416625,Ohio,Northern Illinois,False,True,2.5,1.5,False,2.5,1.0,1.0,6.0,6.0
2022,8,401426355,James Madison,Marshall,False,True,-10.25,-12.5,True,10.25,-1.0,2.25,6.0,9.0
2022,8,401426357,Louisiana,Arkansas State,False,True,-6.25,-7.0,True,6.25,1.0,0.75,9.0,6.0
2022,8,401426358,Texas State,Southern Miss,False,True,2.5,1.0,False,2.5,-1.0,1.5,7.0,6.0
2022,10,401416633,Ohio,Buffalo,False,True,2.5,3.0,False,2.5,1.0,-0.5,10.0,10.0
2022,7,401403920,Ole Miss,Auburn,False,True,-15.375,-15.5,True,15.375,-1.0,0.125,6.0,6.0
2022,7,401403917,Florida,LSU,False,True,-2.0,-3.0,True,2.0,-1.0,1.0,7.0,7.0
2022,8,401404140,Army,UL Monroe,False,False,-6.5,-7.5,True,6.5,1.0,1.0,7.0,6.0
2022,8,401416628,Kent State,Akron,False,True,-15.625,-19.5,True,15.625,-1.0,3.875,6.0,7.0
2022,10,401416634,Northern Illinois,Central Michigan,False,True,-4.875,-4.0,True,4.875,-1.0,-0.875,11.0,11.0
2022,8,401416626,Buffalo,Toledo,False,True,7.125,7.5,False,7.125,1.0,-0.375,7.0,6.0
2022,8,401416629,Central Michigan,Bowling Green,False,True,-6.0,-7.5,True,6.0,-1.0,1.5,7.0,7.0
2022,8,401416624,Ball State,Eastern Michigan,False,True,-2.5,-3.0,True,2.5,-1.0,0.5,7.0,6.0
2022,11,401426604,Florida International,Florida Atlantic,False,True,15.25,15.0,False,15.25,-1.0,0.25,7.0,14.0
2022,3,401415217,Wyoming,Air Force,False,True,16.625,15.0,False,16.625,1.0,1.625,6.0,6.0
2022,3,401405088,Ohio State,Toledo,False,False,-32.125,-31.5,True,32.125,1.0,-0.625,7.0,7.0
2022,3,401426556,Clemson,Louisiana Tech,False,False,-33.5,-32.0,True,33.5,-1.0,-1.5,7.0,7.0
2022,3,401411115,Western Michigan,Pittsburgh,False,False,10.125,10.0,False,10.125,-1.0,0.125,7.0,7.0
2022,3,401416601,Coastal Carolina,Buffalo,False,False,-11.875,-18.5,True,11.875,1.0,6.625,6.0,6.0
2022,3,401405089,Temple,Rutgers,False,False,18.0,17.0,False,18.0,1.0,1.0,7.0,6.0
2022,3,401411113,Virginia,Old Dominion,False,False,-8.25,-10.5,True,8.25,-1.0,2.25,6.0,6.0
2022,3,401403987,Notre Dame,California,False,False,-13.5,-12.5,True,13.5,-1.0,-1.0,7.0,6.0
2022,3,401426558,UNLV,North Texas,False,False,-2.5,-2.5,True,2.5,1.0,0.0,6.0,6.0
2022,3,401403988,Minnesota,Colorado,False,False,-28.0,-27.0,True,28.0,1.0,-1.0,7.0,7.0
2022,3,401426333,App State,Troy,False,True,-14.0,-13.0,True,14.0,-1.0,-1.0,7.0,6.0
2022,3,401426560,UAB,Georgia Southern,False,False,-11.5,-12.0,True,11.5,1.0,0.5,6.0,6.0
2022,3,401415029,Bowling Green,Marshall,False,False,17.0,18.5,False,17.0,1.0,-1.5,7.0,7.0
2022,3,401426554,Georgia State,Charlotte,False,False,-19.5,-19.5,True,19.5,-1.0,0.0,7.0,7.0
2022,3,401426555,Florida Atlantic,UCF,False,False,7.5,9.5,False,7.5,-1.0,-2.0,7.0,8.0
2022,3,401403986,Arizona State,Eastern Michigan,False,False,-20.5,-19.5,True,20.5,-1.0,-1.0,7.0,7.0
2022,10,401426366,Old Dominion,Marshall,False,True,3.5,2.5,False,3.5,-1.0,1.0,6.0,6.0
2022,10,401426369,Southern Miss,Georgia State,False,True,-2.125,-2.5,True,2.125,-1.0,0.375,8.0,7.0
2022,10,401426365,Georgia Southern,South Alabama,False,True,3.5,5.0,False,3.5,-1.0,-1.5,14.0,7.0
2022,10,401426367,Louisiana,Troy,False,True,3.5,4.0,False,3.5,-1.0,-0.5,8.0,15.0
2022,10,401426368,UL Monroe,Texas State,False,True,-2.625,0.0,True,2.625,-1.0,-2.625,14.0,14.0
