rank,team,sp_plus,off_sp_plus,def_sp_plus,st_sp_plus
1,Ohio State,31.8,40.6,8.8,0.1
2,Oregon,28.3,40.7,12.6,0.3
3,Notre Dame,25.8,40.2,14.6,0.3
4,Georgia,25.5,38.2,13.3,0.6
5,Indiana,24.5,37.4,13.5,0.5
6,Texas,23.7,37.6,14.3,0.4
7,Texas Tech,23.1,37.6,14.7,0.2
8,Miami (Fla.),21.0,34.4,13.7,0.3
9,Texas A&M,20.3,37.3,16.7,-0.3
10,LSU,20.2,32.5,12.5,0.2
11,Alabama,18.2,31.3,12.6,-0.4
12,Oklahoma,17.2,31.6,14.7,0.4
13,USC,16.8,37.7,20.5,-0.3
14,Michigan,16.1,32.8,16.2,-0.5
15,Tennessee,16.0,38.7,23.0,0.4
16,Ole Miss,15.9,35.0,19.7,0.7
17,Penn State,15.7,33.6,18.6,0.6
18,BYU,15.5,33.3,18.1,0.3
19,Florida,14.9,30.2,15.9,0.5
20,Missouri,14.8,32.2,16.9,-0.5
21,Washington,14.5,32.4,17.6,-0.3
22,Iowa,13.6,30.3,17.3,0.6
23,Clemson,12.8,29.5,17.0,0.3
24,South Carolina,12.1,29.9,18.4,0.5
25,Utah,11.9,33.0,21.1,0.0
26,Auburn,11.2,28.4,17.5,0.3
27,Louisville,11.0,30.6,19.7,0.2
28,SMU,10.9,31.9,20.7,-0.4
29,Kansas State,10.4,33.1,23.0,0.3
30,Arizona,10.2,31.5,20.8,-0.5
31,Vanderbilt,10.0,33.4,24.1,0.6
32,Virginia Tech,9.4,31.1,21.5,-0.2
33,Illinois,9.3,31.5,22.7,0.4
34,TCU,9.1,31.3,21.9,-0.2
35,Florida State,8.8,29.7,20.6,-0.3
36,Houston,8.2,31.3,22.8,-0.4
37,Nebraska,7.7,29.2,21.5,0.1
38,Oklahoma State,7.1,30.0,23.4,0.5
39,Boise State,6.8,29.9,22.8,-0.3
40,Virginia,6.6,26.3,19.9,0.2
41,Pitt,6.5,30.2,23.8,0.1
42,Arizona State,6.4,28.2,21.2,-0.6
43,Georgia Tech,6.0,28.8,23.4,0.6
44,Duke,5.7,32.8,27.5,0.4
45,Minnesota,5.2,25.3,19.5,-0.5
46,UCLA,5.1,29.0,23.9,0.0
47,Arkansas,5.0,34.1,29.3,0.3
48,NC State,4.9,30.7,25.3,-0.4
49,Northwestern,4.6,24.5,20.4,0.5
50,Cincinnati,4.5,29.6,25.4,0.3
51,Baylor,4.5,32.2,28.3,0.6
52,Mississippi State,3.9,30.1,26.7,0.5
53,Kentucky,3.8,25.0,21.2,0.0
54,North Carolina,3.8,24.5,21.1,0.4
55,Maryland,3.8,26.1,22.7,0.3
56,Cal,3.7,29.2,25.2,-0.3
57,Kansas,3.7,29.0,25.9,0.6
58,Wake Forest,3.6,24.2,20.7,0.0
59,UNLV,2.8,31.2,28.4,0.1
60,UCF,2.3,24.5,22.1,-0.1
61,Wisconsin,1.8,20.6,18.5,-0.3
62,Rutgers,1.8,30.4,28.7,0.1
63,Navy,1.1,27.8,26.9,0.2
64,Iowa State,1.0,22.9,22.4,0.5
65,Colorado,0.9,26.3,24.9,-0.5
66,West Virginia,0.8,26.3,25.6,0.1
67,Michigan State,0.4,26.7,25.9,-0.4
68,New Mexico,-0.5,25.3,26.4,0.6
69,Syracuse,-0.7,23.9,25.0,0.4
70,Memphis,-1.1,28.3,30.0,0.5
71,San Diego State,-1.3,23.1,25.0,0.6
72,North Dakota State,-1.4,24.4,25.8,0.0
73,UTSA,-1.5,29.5,31.2,0.1
74,Boston College,-1.5,25.4,27.4,0.5
75,Stanford,-1.9,22.7,24.0,-0.6
76,East Carolina,-2.0,24.2,26.0,-0.2
77,James Madison,-2.1,25.0,26.7,-0.4
78,Fresno State,-2.3,20.6,22.9,0.0
79,Air Force,-2.4,25.3,27.7,0.1
80,South Florida,-2.8,27.5,30.1,-0.3
81,Miami (Ohio),-2.9,19.5,22.9,0.5
82,Purdue,-2.9,23.8,27.4,0.6
83,Army,-3.0,24.5,27.6,0.1
84,Hawai'i,-3.9,25.3,29.8,0.6
85,Washington State,-5.3,19.9,25.1,-0.1
86,WKU,-5.3,25.2,31.0,0.5
87,Tulane,-5.5,22.2,28.3,0.6
88,Old Dominion,-5.8,20.2,25.3,-0.7
89,Texas State,-5.9,31.8,37.8,0.1
90,Troy,-6.0,23.6,29.8,0.2
91,Oregon State,-6.3,20.9,26.5,-0.7
92,Marshall,-6.4,28.5,35.2,0.3
93,Liberty,-6.4,25.5,31.7,-0.2
94,Florida Atlantic,-7.1,27.2,34.9,0.5
95,Western Michigan,-7.2,19.0,25.8,-0.4
96,Tulsa,-7.6,23.5,31.7,0.5
97,Utah State,-7.7,23.7,30.9,-0.5
98,Jacksonville State,-7.7,24.8,32.0,-0.5
99,Colorado State,-8.3,18.8,27.0,-0.1
100,Louisiana Tech,-8.3,22.3,30.6,0.0
101,Arkansas State,-8.5,23.7,32.3,0.1
102,Temple,-8.7,25.2,34.3,0.3
103,Georgia Southern,-8.9,23.2,32.1,0.0
104,Louisiana,-9.1,25.2,33.9,-0.5
105,Kennesaw State,-9.3,21.3,30.1,-0.5
106,Wyoming,-9.6,16.0,25.0,-0.6
107,UConn,-11.2,20.3,32.1,0.6
108,Toledo,-11.5,16.7,27.9,-0.4
109,North Texas,-11.8,23.6,35.2,-0.2
110,Buffalo,-11.9,15.7,28.1,0.6
111,Appalachian State,-12.1,21.2,33.6,0.3
112,Nevada,-12.2,17.4,30.0,0.4
113,Central Michigan,-12.4,17.4,29.6,-0.2
114,Delaware,-13.0,22.7,35.4,-0.3
115,Bowling Green,-13.3,14.8,28.3,0.3
116,South Alabama,-13.3,22.7,35.4,-0.7
117,Ohio,-13.6,13.3,26.2,-0.6
118,FIU,-13.7,21.5,35.0,-0.3
119,Coastal Carolina,-13.8,21.1,34.4,-0.5
120,Rice,-14.7,17.0,32.2,0.5
121,Eastern Michigan,-15.0,17.8,32.8,0.0
122,San Jose State,-15.5,18.6,33.6,-0.5
123,New Mexico State,-16.4,17.0,33.4,-0.1
124,UAB,-18.1,20.3,37.9,-0.5
125,Northern Illinois,-18.2,13.8,31.8,-0.2
126,Missouri State,-18.7,16.7,34.9,-0.5
127,Akron,-19.5,13.0,31.9,-0.6
128,Kent State,-20.1,15.9,35.5,-0.5
129,UTEP,-20.5,14.7,34.7,-0.5
130,Sacramento State,-22.7,15.1,37.9,0.0
131,Southern Miss,-23.3,16.4,39.2,-0.4
132,ULM,-24.3,14.3,37.9,-0.7
133,Georgia State,-25.1,17.0,41.4,-0.7
134,Ball State,-25.2,12.2,36.7,-0.7
135,Middle Tennessee,-26.0,13.7,39.9,0.2
136,Sam Houston,-26.3,14.1,40.0,-0.4
137,UMass,-30.9,9.6,40.1,-0.5
138,Charlotte,-32.4,10.4,42.3,-0.5
