season,home,away,actual_total,proj_total,market_close,market_open
2023,Notre Dame,Navy,45,47.25,50.5,49.75
2023,New Mexico State,Massachusetts,71,40.95,44.5,43.5
2023,San Diego State,Ohio,33,51.5,49.0,49.5
2023,Vanderbilt,Hawai'i,63,59.25,54.75,55.25
2023,USC,San José State,84,56.800000000000004,64.5,63.5
2023,Louisiana Tech,Florida International,39,68.65,58.5,59.0
2023,UCF,Kent State,62,57.45,54.0,58.75
2023,UConn,NC State,38,38.9,48.0,49.0
2023,Minnesota,Nebraska,23,41.6,43.0,46.75
2023,Utah,Florida,35,61.85,44.5,49.5
2023,Miami,Miami (OH),41,42.0,45.25,48.5
2023,Michigan State,Central Michigan,38,56.4,45.5,50.75
2023,Georgia Tech,Louisville,73,47.2,49.5,51.75
2023,Hawai'i,Stanford,61,57.5,55.0,58.5
2023,Michigan,East Carolina,33,52.900000000000006,52.0,51.75
2023,TCU,Colorado,87,66.25,63.0,59.0
2023,Liberty,Bowling Green,58,56.95,49.0,50.75
2023,Boston College,Northern Illinois,51,61.3,50.5,52.0
2023,Kentucky,Ball State,58,39.599999999999994,48.75,48.5
2023,Iowa,Utah State,38,42.5,43.5,43.5
2023,Tennessee,Virginia,62,55.24999999999999,56.0,57.5
2023,SMU,Louisiana Tech,52,78.35,66.25,65.5
2023,Purdue,Fresno State,74,52.75,47.0,51.5
2023,Oklahoma,Arkansas State,73,64.75,58.0,61.0
2023,Temple,Akron,45,50.05,55.0,54.5
2023,Indiana,Ohio State,26,63.65,59.5,59.75
2023,Wisconsin,Buffalo,55,51.400000000000006,54.0,54.5
2023,Auburn,Massachusetts,73,52.2,52.0,52.5
2023,Washington,Boise State,75,54.650000000000006,59.0,58.5
2023,Texas,Rice,47,56.85,59.0,59.0
2023,Western Kentucky,South Florida,65,72.9,71.0,70.5
2023,North Texas,California,79,57.25,54.0,57.0
2023,USC,Nevada,80,63.300000000000004,63.5,64.75
2023,Texas A&M,New Mexico,62,39.95,48.75,49.0
2023,Baylor,Texas State,73,55.3,58.75,57.75
2023,Colorado State,Washington State,74,39.3,54.75,56.0
2023,Houston,UTSA,31,76.05,60.0,60.25
2023,UL Monroe,Army,30,56.05,47.25,48.0
2023,Penn State,West Virginia,53,60.64999999999999,48.0,53.5
2023,Alabama,Middle Tennessee,63,57.99999999999999,51.75,54.5
2023,Wyoming,Texas Tech,68,55.05,50.5,52.75
2023,North Carolina,South Carolina,48,68.95,63.5,62.5
2023,Illinois,Toledo,58,39.85,45.5,47.75
2023,Tulane,South Alabama,54,47.95,51.5,55.0
2023,Virginia Tech,Old Dominion,53,41.25,48.0,49.5
2023,UCLA,Coastal Carolina,40,69.55000000000001,66.5,64.75
2023,Rutgers,Northwestern,31,43.6,39.5,40.25
2023,San José State,Oregon State,59,45.849999999999994,55.75,54.75
2023,Florida State,LSU,69,53.5,56.5,56.0
2023,Duke,Clemson,35,53.75,55.5,56.25
2023,Kansas,Illinois,57,51.35,57.5,55.5
2023,Wake Forest,Vanderbilt,56,70.89999999999999,56.5,58.0
2023,NC State,Notre Dame,69,43.8,49.5,50.5
