date,away,home,neutral,model_pick,model_margin,home_win_prob,home_blended_rank,away_blended_rank,market_home_margin,market_note,model_vs_market_gap,model_total,market_total,total_gap,disagreement_team,disagreement_value
2026-08-29,San José State,USC,False,USC,39.0,0.983,10,128,35.5,"2 book(s), median -35.5",3.5,53.7,59.5,-5.8,,
2026-08-29,New Mexico State,Florida State,False,Florida State,29.8,0.947,28,125,29.5,"2 book(s), median -29.5",0.3,51.9,53.0,-1.1,,
2026-08-29,Sacramento State,Eastern Michigan,False,Eastern Michigan,8.5,0.677,116,130,8.5,"2 book(s), median -8.5",-0.0,52.4,52.5,-0.1,,
2026-08-29,North Carolina,TCU,True,TCU,7.7,0.662,37,59,6.5,"2 book(s), median -6.5",1.2,51.5,49.5,2.0,,
2026-08-29,NC State,Virginia,False,Virginia,5.6,0.619,36,44,3.0,"2 book(s), median -3.0",2.6,52.2,53.5,-1.3,,
2026-08-29,Jacksonville State,North Dakota State,False,North Dakota State,4.3,0.592,98,96,7.0,"2 book(s), median -7.0",-2.7,53.1,48.0,5.1,,
2026-08-29,Hawai'i,Stanford,False,Stanford,1.4,0.531,87,81,3.0,"2 book(s), median -3.0",-1.6,52.1,49.5,2.6,,
2026-08-30,Memphis,UNLV,False,UNLV,4.9,0.605,64,75,3.0,"2 book(s), median -3.0",1.9,55.2,57.5,-2.3,,
2026-09-03,Massachusetts,Rutgers,False,Rutgers,33.5,0.965,58,138,30.5,"2 book(s), median -30.5",3.0,53.4,54.5,-1.1,Massachusetts,0.8
2026-09-03,Akron,Wake Forest,False,Wake Forest,20.9,0.872,48,121,22.5,"2 book(s), median -22.5",-1.6,49.7,50.0,-0.3,,
2026-09-04,UAB,Illinois,False,Illinois,27.0,0.929,35,127,27.5,"2 book(s), median -27.5",-0.5,54.1,57.0,-2.9,,
2026-09-04,Colorado,Georgia Tech,False,Georgia Tech,10.2,0.711,40,74,7.0,"2 book(s), median -7.0",3.2,52.4,51.0,1.4,Colorado,0.68
2026-09-04,San José State,Eastern Michigan,False,Eastern Michigan,8.8,0.684,116,128,3.5,"2 book(s), median -3.5",5.3,52.3,53.5,-1.2,,
2026-09-05,Ball State,Ohio State,False,Ohio State,53.7,0.998,1,135,49.5,"2 book(s), median -49.5",4.2,51.4,56.5,-5.1,,
2026-09-05,UTEP,Oklahoma,False,Oklahoma,39.0,0.983,12,129,40.5,"2 book(s), median -40.5",-1.5,50.9,50.5,0.4,,
2026-09-05,Missouri State,Texas A&M,False,Texas A&M,38.2,0.981,9,122,38.5,"2 book(s), median -38.5",-0.3,52.8,52.5,0.3,,
2026-09-05,Kent State,South Carolina,False,South Carolina,33.2,0.964,25,131,34.5,"2 book(s), median -34.5",-1.3,51.7,53.0,-1.3,,
2026-09-05,Northern Illinois,Iowa,False,Iowa,33.0,0.964,20,126,29.5,"2 book(s), median -29.5",3.5,50.4,45.5,4.9,,
2026-09-05,North Texas,Indiana,False,Indiana,32.0,0.959,4,89,40.5,"2 book(s), median -40.5",-8.5,53.6,55.5,-1.9,North Texas,0.65
2026-09-05,UL Monroe,Mississippi State,False,Mississippi State,27.1,0.93,47,134,28.5,"2 book(s), median -28.5",-1.4,53.5,55.5,-2.0,,
2026-09-05,Texas State,Texas,False,Texas,25.4,0.916,7,67,30.5,"2 book(s), median -30.5",-5.1,55.9,60.0,-4.1,,
2026-09-05,Oregon State,Houston,False,Houston,23.2,0.896,32,108,18.5,"2 book(s), median -18.5",4.7,52.0,51.0,1.0,,
2026-09-05,Boise State,Oregon,False,Oregon,22.9,0.893,2,38,24.5,"2 book(s), median -24.5",-1.6,52.9,52.0,0.9,,
2026-09-05,Miami,Stanford,False,Miami,22.6,0.11,87,8,-24.5,"2 book(s), median +24.5",1.9,50.7,48.5,2.2,,
2026-09-05,Florida Atlantic,Florida,False,Florida,21.6,0.88,26,99,25.5,"2 book(s), median -25.5",-3.9,53.3,58.5,-5.2,,
2026-09-05,East Carolina,Alabama,False,Alabama,21.4,0.877,11,69,25.5,"2 book(s), median -25.5",-4.1,50.6,54.0,-3.4,,
2026-09-05,Marshall,Penn State,False,Penn State,20.7,0.87,21,88,23.5,"2 book(s), median -23.5",-2.8,54.8,54.5,0.3,,
2026-09-05,Fresno State,USC,False,USC,20.5,0.867,10,63,22.5,"2 book(s), median -22.5",-2.0,52.1,51.5,0.6,,
2026-09-05,Western Michigan,Michigan,False,Michigan,20.1,0.862,14,71,26.5,"2 book(s), median -26.5",-6.4,50.5,47.5,3.0,,
2026-09-05,Ohio,Nebraska,False,Nebraska,18.7,0.845,34,102,23.5,"2 book(s), median -23.5",-4.8,49.8,47.5,2.3,Ohio,0.58
2026-09-05,Sam Houston,Troy,False,Troy,17.8,0.834,100,136,16.5,"2 book(s), median -16.5",1.3,53.2,51.5,1.7,,
2026-09-05,Miami (OH),Pittsburgh,False,Pittsburgh,16.9,0.82,33,92,16.0,"2 book(s), median -16.0",0.9,51.0,50.5,0.5,,
2026-09-05,Coastal Carolina,West Virginia,False,West Virginia,16.4,0.814,76,124,17.5,"2 book(s), median -17.5",-1.1,53.2,58.0,-4.8,,
2026-09-05,Florida International,South Florida,False,South Florida,15.2,0.796,65,115,12.5,"2 book(s), median -12.5",2.7,54.5,55.0,-0.5,,
2026-09-05,Liberty,James Madison,False,James Madison,11.3,0.731,56,95,6.0,"2 book(s), median -6.0",5.3,53.5,53.0,0.5,,
2026-09-05,Arkansas State,Memphis,False,Memphis,10.5,0.716,75,105,9.5,"2 book(s), median -9.5",1.0,54.5,55.5,-1.0,,
2026-09-05,Boston College,Cincinnati,False,Cincinnati,10.2,0.71,60,94,7.5,"2 book(s), median -7.5",2.7,53.2,54.0,-0.8,,
2026-09-05,Tulane,Duke,False,Duke,8.2,0.671,46,73,8.5,"2 book(s), median -8.5",-0.3,53.8,52.0,1.8,,
2026-09-05,Baylor,Auburn,True,Auburn,7.2,0.653,30,42,6.5,"2 book(s), median -6.5",0.7,53.0,59.5,-6.5,,
