game_id,date,away,home,neutral,model_pick,model_margin,home_win_prob,home_blended_rank,away_blended_rank,market_home_margin,market_note,model_vs_market_gap,model_total,market_total,total_gap,disagreement_team,disagreement_value
401858214,2026-09-11,Rutgers,Boston College,False,Rutgers,4.6,0.401,94,58,3.0,"3 book(s), median -3.0",-7.6,54.0,53.5,0.5,,
401859184,2026-09-12,Rice,Notre Dame,False,Notre Dame,44.0,0.992,3,123,44.5,"3 book(s), median -44.5",-0.5,52.5,54.5,-2.0,,
401856676,2026-09-12,Charlotte,Ole Miss,False,Ole Miss,43.5,0.991,13,137,44.5,"3 book(s), median -44.5",-1.0,53.2,59.5,-6.3,,
401856783,2026-09-12,Texas Tech,Oregon State,False,Texas Tech,30.9,0.047,108,6,-25.5,"3 book(s), median +25.5",-5.4,51.7,52.5,-0.8,,
401856673,2026-09-12,Western Kentucky,Georgia,False,Georgia,30.1,0.949,5,82,40.5,"3 book(s), median -40.5",-10.4,53.2,55.5,-2.3,Western Kentucky,0.59
401856782,2026-09-12,Oregon,Oklahoma State,False,Oregon,26.6,0.074,80,2,-24.0,"3 book(s), median +24.0",-2.6,53.0,55.5,-2.5,Oklahoma State,1.14
401858219,2026-09-12,Georgia Southern,Clemson,False,Clemson,26.5,0.925,24,110,19.5,"3 book(s), median -19.5",7.0,52.1,54.5,-2.4,,
401856671,2026-09-12,Southern Miss,Auburn,False,Auburn,25.3,0.916,30,117,32.5,"3 book(s), median -32.5",-7.2,52.0,56.5,-4.5,Southern Miss,0.92
401858441,2026-09-12,Bowling Green,Nebraska,False,Nebraska,24.8,0.911,34,120,30.5,"3 book(s), median -30.5",-5.7,50.5,48.5,2.0,,
401858446,2026-09-12,Utah State,Washington,False,Washington,23.7,0.901,18,93,28.5,"3 book(s), median -28.5",-4.8,52.6,55.5,-2.9,,
401856684,2026-09-12,Delaware,Vanderbilt,False,Vanderbilt,23.4,0.898,27,104,20.5,"3 book(s), median -20.5",2.9,54.8,54.5,0.3,,
401867796,2026-09-12,Louisiana Tech,LSU,False,LSU,23.2,0.897,17,91,34.5,"3 book(s), median -34.5",-11.3,51.3,55.0,-3.7,LSU,0.62
401856683,2026-09-12,Arizona State,Texas A&M,False,Texas A&M,20.9,0.873,9,55,15.0,"3 book(s), median -15.0",5.9,52.4,51.5,0.9,,
401858442,2026-09-12,Penn State,Temple,False,Penn State,18.7,0.154,103,21,-24.5,"3 book(s), median +24.5",5.8,54.0,50.0,4.0,,
401856788,2026-09-12,Iowa State,Iowa,False,Iowa,18.5,0.843,20,78,14.0,"3 book(s), median -14.0",4.5,50.3,42.5,7.8,,
401871045,2026-09-12,Middle Tennessee,Marshall,False,Marshall,17.0,0.823,88,132,12.5,"3 book(s), median -12.5",4.5,55.1,55.5,-0.4,,
401869955,2026-09-12,Georgia State,Kennesaw State,False,Kennesaw State,13.4,0.767,106,133,7.5,"3 book(s), median -7.5",5.9,53.6,55.5,-1.9,,
401856674,2026-09-12,Alabama,Kentucky,False,Alabama,13.3,0.234,57,11,-8.5,"3 book(s), median +8.5",-4.8,49.8,47.0,2.8,,
401864571,2026-09-12,App State,East Carolina,False,East Carolina,13.2,0.764,69,109,6.5,"3 book(s), median -6.5",6.7,52.7,55.5,-2.8,,
401858440,2026-09-12,Eastern Michigan,Michigan State,False,Michigan State,13.2,0.763,72,116,17.5,"3 book(s), median -17.5",-4.3,52.3,49.5,2.8,,
401864575,2026-09-12,South Alabama,Tulane,False,Tulane,12.6,0.754,73,111,9.5,"3 book(s), median -9.5",3.1,53.4,48.5,4.9,,
401856781,2026-09-12,Washington State,Kansas State,False,Kansas State,12.5,0.752,39,83,17.5,"3 book(s), median -17.5",-5.0,51.9,48.5,3.4,,
401862707,2026-09-12,Tulsa,Sam Houston,False,Tulsa,12.0,0.257,136,101,-12.5,"3 book(s), median +12.5",0.5,53.5,51.5,2.0,,
401856810,2026-09-12,Arizona,BYU,False,BYU,11.4,0.732,15,29,7.0,"3 book(s), median -7.0",4.4,52.4,49.0,3.4,,
401860881,2026-09-12,Memphis,Boise State,False,Boise State,10.6,0.717,38,75,9.5,"3 book(s), median -9.5",1.1,53.9,54.5,-0.6,,
401858444,2026-09-12,Maryland,UConn,False,Maryland,10.5,0.284,107,50,-11.5,"3 book(s), median +11.5",1.0,52.0,52.5,-0.5,UConn,0.62
401856790,2026-09-12,UCF,Pittsburgh,False,Pittsburgh,9.3,0.694,33,54,7.0,"3 book(s), median -7.0",2.3,51.8,55.5,-3.7,,
401858221,2026-09-12,Old Dominion,Virginia Tech,False,Virginia Tech,8.5,0.679,45,77,17.5,"3 book(s), median -17.5",-9.0,51.4,47.5,3.9,Virginia Tech,0.74
401856681,2026-09-12,Tennessee,Georgia Tech,False,Tennessee,7.2,0.347,40,16,-12.5,"3 book(s), median +12.5",5.3,54.4,55.5,-1.1,,
401856678,2026-09-12,Missouri,Kansas,False,Missouri,7.1,0.35,51,23,-4.0,"3 book(s), median +4.0",-3.1,52.5,51.5,1.0,,
401862708,2026-09-12,UL Monroe,UAB,False,UAB,7.0,0.648,127,134,9.5,"3 book(s), median -9.5",-2.5,53.7,53.5,0.2,,
401858217,2026-09-12,Duke,Illinois,False,Illinois,6.6,0.641,35,46,6.5,"3 book(s), median -6.5",0.1,54.5,51.5,3.0,,
401856677,2026-09-12,Mississippi State,Minnesota,False,Minnesota,4.3,0.593,43,47,1.0,"3 book(s), median -1.0",3.3,52.0,53.5,-1.5,,
401858224,2026-09-12,Wake Forest,Purdue,False,Wake Forest,4.2,0.41,84,48,-2.5,"3 book(s), median +2.5",-1.7,51.0,51.5,-0.5,,
401866414,2026-09-12,Buffalo,Florida International,False,Florida International,3.8,0.582,115,118,8.5,"3 book(s), median -8.5",-4.7,51.8,47.5,4.3,,
401856682,2026-09-12,Ohio State,Texas,False,Ohio State,3.3,0.43,7,1,2.5,"3 book(s), median -2.5",-5.8,52.0,50.5,1.5,,
401862703,2026-09-12,Navy,Florida Atlantic,False,Navy,3.2,0.43,99,70,-4.5,"3 book(s), median +4.5",1.3,55.0,59.5,-4.5,,
401862705,2026-09-12,UNLV,North Texas,False,UNLV,2.5,0.446,89,64,-3.0,"3 book(s), median +3.0",0.5,55.3,58.0,-2.7,North Texas,0.65
401862702,2026-09-12,South Florida,Army,False,South Florida,1.8,0.46,86,65,3.0,"3 book(s), median -3.0",-4.8,53.6,45.5,8.1,,
401860884,2026-09-12,UTSA,Texas State,False,Texas State,1.5,0.533,67,61,1.5,"3 book(s), median -1.5",0.0,57.6,65.5,-7.9,,
401858216,2026-09-12,California,Syracuse,False,California,1.4,0.47,85,66,4.0,"3 book(s), median -4.0",-5.4,52.4,56.5,-4.1,Syracuse,0.6
401866418,2026-09-12,Jacksonville State,Ohio,False,Ohio,1.2,0.526,102,96,1.5,"3 book(s), median -1.5",-0.3,51.0,49.5,1.5,Ohio,0.58
401856679,2026-09-12,Oklahoma,Michigan,False,Michigan,0.9,0.52,14,12,-5.5,"3 book(s), median +5.5",6.4,50.8,43.5,7.3,,
401858443,2026-09-12,San Diego State,UCLA,False,UCLA,0.6,0.513,62,49,13.5,"3 book(s), median -13.5",-12.9,51.9,53.5,-1.6,UCLA,0.88
401858445,2026-09-13,Louisiana,USC,False,USC,27.9,0.935,10,97,30.5,"3 book(s), median -30.5",-2.6,55.1,58.5,-3.4,,
401860883,2026-09-13,Sacramento State,Fresno State,False,Fresno State,21.6,0.88,63,130,17.5,"3 book(s), median -17.5",4.1,51.0,43.5,7.5,,
401856670,2026-09-13,Arkansas,Utah,False,Utah,18.4,0.841,19,52,12.5,"3 book(s), median -12.5",5.9,55.1,55.5,-0.4,,
401864578,2026-09-13,New Mexico State,Hawai'i,False,Hawai'i,15.4,0.799,81,125,7.5,"3 book(s), median -7.5",7.9,52.8,50.5,2.3,,
401864502,2026-09-13,North Dakota State,Air Force,False,Air Force,8.0,0.669,90,98,-1.5,"3 book(s), median +1.5",9.5,52.3,48.5,3.8,,
