game_id,date,away,home,neutral,model_pick,model_margin,home_win_prob,home_blended_rank,away_blended_rank,in_season_weight,home_in_season_margin,away_in_season_margin,market_home_margin,market_note,model_vs_market_gap,model_total,market_total,total_gap,disagreement_team,disagreement_value
401858225,2026-09-17,Syracuse,Pittsburgh,False,Pittsburgh,15.7,0.803,33,85,0.0,,-5.72,10.5,"3 book(s), median -10.5",5.2,52.3,51.5,0.8,Syracuse,0.6
401858226,2026-09-18,Miami,Wake Forest,False,Miami,14.5,0.215,48,8,0.0,2.78,,-20.5,"3 book(s), median +20.5",6.0,50.4,55.5,-5.1,,
401858454,2026-09-19,Kent State,Ohio State,False,Ohio State,53.2,0.998,1,131,0.15,26.27,-42.23,52.5,"2 book(s), median -52.5",0.7,51.9,59.5,-7.6,,
401858450,2026-09-19,UTEP,Michigan,False,Michigan,37.9,0.98,14,129,0.15,9.49,-30.14,34.5,"2 book(s), median -34.5",3.4,51.4,48.5,2.9,,
401856692,2026-09-19,Kennesaw State,Tennessee,False,Tennessee,34.8,0.971,16,106,0.15,29.51,-37.38,35.5,"2 book(s), median -35.5",-0.7,54.3,60.5,-6.2,,
401858456,2026-09-19,Buffalo,Penn State,False,Penn State,31.8,0.958,21,118,0.15,24.92,-21.84,40.5,"2 book(s), median -40.5",-8.7,50.9,49.5,1.4,,
401858449,2026-09-19,Western Kentucky,Indiana,False,Indiana,30.5,0.951,4,82,0.0,28.2,,44.5,"2 book(s), median -44.5",-14.0,53.1,61.0,-7.9,Western Kentucky,0.59
401858453,2026-09-19,Michigan State,Notre Dame,False,Notre Dame,29.5,0.946,3,72,0.15,31.22,9.05,29.5,"2 book(s), median -29.5",0.0,53.2,52.0,1.2,,
401856689,2026-09-19,Troy,Missouri,False,Missouri,26.9,0.928,23,100,0.15,22.68,-22.35,27.0,"2 book(s), median -27.0",-0.1,52.2,50.5,1.7,,
401856801,2026-09-19,Utah State,Utah,False,Utah,25.3,0.915,19,93,0.15,29.62,16.36,27.5,"2 book(s), median -27.5",-2.2,53.4,56.5,-3.1,,
401856694,2026-09-19,Kentucky,Texas A&M,False,Texas A&M,24.9,0.912,9,57,0.15,29.55,-12.96,16.5,"2 book(s), median -16.5",8.4,51.8,49.5,2.3,,
401856686,2026-09-19,Georgia,Arkansas,False,Georgia,23.5,0.101,52,5,0.15,-11.97,43.75,-24.5,"2 book(s), median +24.5",1.0,54.6,55.0,-0.4,,
401856800,2026-09-19,Georgia State,UCF,False,UCF,22.1,0.886,54,133,0.15,6.55,6.94,17.5,"2 book(s), median -17.5",4.6,52.7,50.0,2.7,,
401856798,2026-09-19,Bowling Green,Iowa State,False,Iowa State,21.0,0.873,78,120,0.15,13.53,-38.3,23.5,"2 book(s), median -23.5",-2.5,49.5,43.5,6.0,,
401856690,2026-09-19,New Mexico,Oklahoma,False,Oklahoma,19.4,0.854,12,68,0.15,20.91,13.37,21.5,"2 book(s), median -21.5",-2.1,51.3,45.5,5.8,,
